Token,PRT
diuus,1.0295396825766965
emo,1.0157628600539945
cano,1.014559346936248
deus,1.0618264661063874
supplico,1.035201136614865
cuma,1.0487841180984352
tono,1.0181764334971304
prae,1.0324893004542721
quot,1.0069574419660992
ibo,2.148818734865797
de,1.014106396809157
hic,1.0069073422507633
cum,1.0108358740472663
omnis,1.0125823674482952
uero,1.0341752390678847
nex,1.0111505379273302
fortis,1.0180778861729909
sano,1.0280510885240044
res,1.0147633249404893
ubi,1.0138142115863507
paco,1.0225170881023926
oro,1.026420332221377
nemo,1.0101803091736943
uoster,1.1660414081501054
mulier,1.0243251031821623
mustela,1.0887913241510108
posthac,1.0222306873881255
numquam,1.0638536026424472
credo,1.0113102293583733
nam,1.0081183215349496
incertior,1.1881626052925351
nullus,1.0068278214565647
nosco,1.0178233578383522
bestia,1.0363437753337914
quin,1.0124823336871172
in,1.0101515400473235
dies,1.023492002138587
muto,1.0080822798938034
locus,1.0221591901206237
is,1.0210469159448874
ego,1.0131023479251928
capitalis,1.0180323569563718
meus,1.0336321342155617
non,1.0065410829299501
hercle,1.1040525716256153
usquam,1.0154709489286486
quisquam,1.0178779462536787
nuto,1.018970017206931
neque,1.0068588185701817
nicto,1.214112499314325
tu,1.0096960142165678
magnus,1.0088924755883275
praeda,1.0137533200190167
ago,1.0198108332094322
possum,1.0164771755130608
dico,1.034909119531112
ex,1.0097033669686148
ager,1.0162423443597974
hostis,1.0101815256633502
qui,1.0076508889279951
circa,1.0511684441754476
thyatira,1.1194634331446989
sum,1.0070397637829778
hortor,1.0148776228323655
perpello,1.1030016155277906
livium,1.1437846328373837
ut,1.0102355407571835
quinque,1.0165054438415693
mille,1.0250879045705978
miles,1.0095989193212251
sui,1.006836099251385
mitto,1.0290218830398008
ingens,1.0078635412265669
intra,1.0323600750757385
paucus,1.019495898977564
auerto,1.0329913880523773
inter,1.0098284409218843
seditio,1.0106934411135424
orior,1.0151249676140761
quidam,1.0157415205110307
ad,1.0099587744434178
antiochus,1.0329403814460512
multitudo,1.0185333405860733
animus,1.0066882070488028
auoco,1.0789281366069938
grauis,1.0404546015507703
hiberna,1.0795961717524856
nauis,1.024074380402385
tributum,1.0240291883319672
quod,1.009443229762795
toga,1.0141381502290592
quingenti,1.0307138576855417
tunica,1.0270886632347151
etiam,1.018794287028372
inopia,1.0122858679725188
frumentum,1.0254004752462516
propter,1.0190007762211513
quoque,1.0204406650922428
et,1.0178163185820521
praesidium,1.0160350639923674
romanus,1.0499275849041418
excedo,1.0249536998995954
tum,1.0257205109302603
libero,1.0358021000760744
metus,1.0066063050650418
factio,1.0133806564389645
plebs,1.0596330055041847
contio,1.013596530338873
traho,1.0089654661854182
senatus,1.0186760745294308
optimas,1.0208768048725931
societas,1.0528078929266051
persto,1.0307704708859167
censeo,1.026076075555705
defectio,1.0202046196303887
auctor,1.0190907121194184
plus,1.0086766599542665
apud,1.0081604238581876
ualeo,1.0211229188657471
rhodium,1.2374247234379918
quo,1.0072934624692103
magis,1.0095469769671366
cesso,1.0417357676243222
prior,1.0143106832860656
aestas,1.0133871447845029
mature,1.0161554338631664
aequinoctium,1.0512300931777505
uernus,1.0520566637183708
idem,1.0287947209044692
classis,1.0113466850837056
praefectus,1.0300482011164556
sex,1.0130543875855005
triginta,1.0174432538746885
iam,1.0091435881500868
liuius,1.046990071788758
ab,1.0105693093624424
canis,1.0109807839594962
suus,1.0141191469782274
septem,1.0206491261903212
eumenes,1.1788668717588957
rex,1.0172540484849888
adduco,1.0140890497382
hellespontum,1.0383136325290927
peto,1.0091454091422332
transeo,1.015276209426086
exercitus,1.0472656089068553
terra,1.0326779233697232
uenio,1.0216545097211516
opinor,1.019415616295857
praeparo,1.028250444923884
opus,1.0197488473041645
portus,1.0112851751914331
uoco,1.024041251661749
primum,1.0093031319938777
adverto,1.1630039595834119
inde,1.0253238342523054
ile,1.0829285931488302
sacrificium,1.0599848153143816
que,1.0082915390843012
,1.0541586926665254
facio,1.01183866757695
legatio,1.0143195751726155
finitimus,1.0130470471178858
dardanus,1.0458012278920954
trado,1.0165156676329208
fides,1.040809608800333
ciuitas,1.038233507139442
benigne,1.0181739000668235
fauces,1.021903613138355
nauigo,1.0108505519750164
decem,1.0152767623829704
statio,1.014849383579335
contra,1.0162179685278736
relinquo,1.0066298595800325
ceterus,1.0120979651404094
europa,1.0410584518530162
oppugnandus,1.0499052456600835
subeo,1.0082852976143184
armo,1.0091195516696603
murus,1.0243870212195647
fanaticus,1.2239047991303145
gallus,1.0099886878148123
sollemnis,1.0401785088755342
habitus,1.015865757523831
ante,1.0166067669982073
porta,1.0251655125734074
occurro,1.0107274167653162
iussus,1.021272907123617
mater,1.010686621903129
famulus,1.0324350396445767
dea,1.0175205108679277
memoro,1.025036548189111
precor,1.0184793001315502
parco,1.0127148188445712
moenia,1.010351619757615
urbs,1.0090544282737055
ne,1.0103866068677099
ecastor,1.6488938243789995
miser,1.0062318759742366
uiolo,1.018272218769422
mox,1.0163028581082714
uniuersus,1.0353295408970884
magistratus,1.0306173636118923
dedo,1.0161186921823826
procedo,1.0316024643772155
traicio,1.068449154269411
tempto,1.0201832171228042
per,1.0175992608989743
colloquium,1.012732852517282
nihil,1.0042473302969863
respondeo,1.0321423583875482
oppugnatio,1.0232035574360363
expedio,1.0255084688781717
dum,1.0087529552106707
gero,1.0138972907528947
regius,1.013735433745324
praeficio,1.019529725560011
autem,1.0274724857471185
exul,1.0206823462920056
audio,1.0162181531888712
prŏfectus,1.025320951821964
domus,1.0325963138934209
popularis,1.0214878033722485
superbe,1.019597323495767
contemptim,1.0433091147614058
contionor,1.0603408796879679
praecipuus,1.0166363362248247
certamen,1.0148765791798304
aduersus,1.0214667201391958
sumo,1.0101312262601596
alius,1.0162160603681627
nox,1.011482228328698
agito,1.0090660199873935
quam,1.0045467173773508
uerbum,1.0335773075007841
magnifico,1.1044909219546362
homo,1.0156042800961438
ille,1.0094636981022183
patria,1.010191561814805
usus,1.0137538713183012
licet,1.020593619294586
restituo,1.0106511878447282
quisnam,1.0082924480426865
modo,1.0102696073000057
mirabundus,1.0859144910792013
percunctao,1.1507645383066865
do,1.0096090654108367
communiter,1.0370329803395246
aut,1.0152929212778983
tego,1.0114842407153188
silentium,1.01375736289436
internuntius,1.1852774567609257
regia,1.0159401297603528
totus,1.011113669783097
maior,1.0225509908231238
pars,1.0162288020865828
pretium,1.0137852963687048
tantus,1.004390297081259
meritum,1.0224322788263747
paciscor,1.0358522385097948
redeo,1.0056416386982368
magnitudo,1.0142245320448087
aspernor,1.0125656224847632
efficio,1.0224979564931105
ibi,1.0178123050145886
exploro,1.0153881647583924
offero,1.028600324547212
ultro,1.0097499774002363
citer,1.0314004746704903
nuntium,1.0733277427434715
curso,1.0876609606638348
coram,1.0684409890896494
nuntio,1.025952967599701
manus,1.024539346427181
scribo,1.0190244192206535
polliceor,1.0084932468129362
signum,1.0287069748402617
imprimo,1.106139572485889
pignus,1.0192790532862168
uelut,1.0320814040112674
auctoro,1.1719416049909805
proditor,1.023986875168226
ratus,1.0349609592114535
enim,1.018475034024107
sub,1.0157308818231072
uiuo,1.0171181256215953
semet,1.0354327345835634
ipse,1.013289950723469
indicium,1.017200328710872
testor,1.027628688362826
ratio,1.0167964711428852
simulo,1.0086220837838717
proditio,1.0128228470864256
compositus,1.0109754229537216
apparatus,1.0149221335412717
remex,1.018733723665796
socius,1.02032138767274
naualis,1.017785939750663
frequens,1.0116062184913472
habeo,1.0078868518746802
simulatio,1.0109015321555883
reficio,1.0181472071283588
propinquus,1.0145851158040537
ephesus,1.0950148259456627
salum,1.0938155978560526
si,1.0099230874342433
exeo,1.0255801847035313
cogo,1.007694102197378
neglegentia,1.0211059523922554
extemplo,1.0341692467656198
commeatus,1.021966795065189
accersendus,1.2254529815441575
samus,1.208716072885426
maneo,1.0134174452339098
paro,1.006253904154305
accipio,1.0109661631685731
augio,1.0568301073458983
error,1.0124623537464246
subduco,1.0199885265687267
accerso,1.017105053286537
sed,1.0058036949695714
occulo,1.021484382729568
forte,1.021062575474097
privatus,1.013625985949586
causa,1.030357729800532
pro,1.021857616630173
speculator,1.0434733501009221
deprehendo,1.0158484117196287
deduco,1.017544085225877
percuncto,1.0406349149639105
quis,1.0039435558448606
incertus,1.0063246422561056
an,1.0153232129116319
erga,1.04088838869425
haud,1.0251214142521754
sincerus,1.0234341878129145
aperio,1.0135525644416483
instructus,1.0202654821028327
sto,1.014863134671457
remigium,1.0301073343655764
perpaucus,1.0448889135518609
detego,1.0295191501167116
intente,1.1021484029597661
administro,1.0261240843702035
uus,1.034037115026134
spes,1.010746658470107
uanus,1.0213841991579182
praeoccupo,1.0335116631863537
satis,1.0085025219752377
comparo,1.0108542672027534
magnesium,1.5801340982275638
raptim,1.052135835842082
tam,1.0065374597258212
absumo,1.0118664954129148
conspicio,1.0103454136015542
prŏficiscens,1.0441813019454371
nolo,1.0405049332955432
post,1.0097714913585811
sol,1.0119364379162037
occasus,1.0194048385652223
proficiscor,1.0177035185203944
septuaginta,1.0463975311398581
uentus,1.0545390227213558
lux,1.0226031580397381
interdiu,1.0234826365237006
ob,1.0279111945666797
proximus,1.0152351079840554
hinc,1.0296412197320095
archipirata,1.0876116040317543
atque,1.0193025234171669
qua,1.0154913551184506
iter,1.016867528298822
tergum,1.0103773578656086
duco,1.007722549929886
interim,1.026077330630922
diuido,1.0090410162043513
uterque,1.008759748352647
teneo,1.0344810023774198
primo,1.0283302973759068
turbo,1.0118452582418762
parumper,1.0130913362211027
deinde,1.0158548086848564
uetus,1.011448628753275
celeriter,1.0183285860097524
colligo,1.012047596811509
melior,1.0072016058826492
arceo,1.0163168948801902
mare,1.0179813962457194
duo,1.0080223171597413
agmen,1.0113179104465015
promunturium,1.2426209728937023
cornu,1.0387851898889988
obiectum,1.0765181039049572
altus,1.0166493965142167
facile,1.008829140686108
telum,1.009749005039592
anceps,1.0190340128972317
summoueo,1.0763942661394668
inceptum,1.036772731244555
uisus,1.0324376445414094
repens,1.011487899620599
consilium,1.0166221674224327
conscendo,1.016906666359564
iubeo,1.0105705876605842
pariter,1.0414170389202029
nauta,1.020357006624785
trepidatio,1.0314931835145202
fuga,1.0137911772963009
fio,1.0126761861549747
simul,1.0178873330870097
unus,1.0079614531953114
uia,1.0287877814183095
salus,1.0240551904744377
uis,1.0273097255776744
erumpo,1.0118092547300885
postquam,1.0232401267930487
uideo,1.0123648482872205
sequor,1.010196853684049
princeps,1.019583753621855
concito,1.0127751577547384
remus,1.0237668031183327
ostium,1.0342071779354058
tendo,1.0158219020782575
supero,1.0120377068921493
tres,1.0091531787825645
circumsisto,1.044996430041171
rostrum,1.016156541693801
ingo,1.1227887580156697
supprimo,1.046024093470966
obruo,1.0081652098124814
propugnator,1.0462714563334934
impigre,1.030595901835361
pugno,1.012221434540096
interficio,1.0208146893202632
reliquus,1.0106436995215513
deprendo,1.0372157005616547
molior,1.0136999080872358
tantum,1.0235077991973953
rhodia,1.1668201704772079
coeo,1.012646785719287
effugio,1.0103273431695807
terror,1.0133300379542387
flamma,1.0113379062072574
mico,1.0218134290269967
confercio,1.0896771227646385
contus,1.057592104893228
binus,1.0127313242150255
prora,1.02628471121563
promineo,1.0291268532034497
trulla,1.1158654037692046
ferreus,1.0222007918435556
multum,1.0099791420952586
conceptus,1.065893302004339
ignis,1.0205993311349293
porto,1.0204211766569178
erythraeus,1.062524489458711
triremis,1.019232240105352
procul,1.0118852922734864
fugio,1.0070585026408758
cursus,1.0130712098916794
confidenter,1.0680070533264583
pernego,1.030877888411747
tempus,1.0142697212979632
seleucus,1.0426498389777104
prodo,1.0150556276840592
una,1.0802905626755883
custos,1.0224765199703665
recipio,1.0191247594439126
ora,1.0261609255525765
aliquot,1.022982324895418
obsidio,1.022328732131262
tolero,1.0284629920537744
regio,1.0152223911716425
tutor,1.0335974290572982
fessus,1.0139999944396019
philota,1.0595450058950917
permitto,1.0184043702260444
condicio,1.0354588078225044
distineo,1.1193537148227424
uter,1.011208801170352
armatus,1.0137512373382427
inermis,1.0121442473700093
emitto,1.0315979607617827
parum,1.008176235854797
conuenio,1.01309837144888
interuenio,1.0532248026256894
nuntius,1.0466860774514017
clades,1.0115518127689151
metuo,1.006245635929818
successus,1.013261432578729
inflo,1.0228664437244444
opprimo,1.0109108516692258
custodia,1.027248271389413
adiungo,1.084769749480058
ualidus,1.1206102260962496
castra,1.0136201681777026
depopulatus,1.108545981964043
maritimus,1.0351135078013187
impono,1.0126469079628864
moror,1.0091745459103845
adsequor,1.0294864893987021
intendo,1.0208427646137386
pauor,1.024629011144659
luctus,1.0148782367466243
praeter,1.0181996674947538
iactura,1.016024972926738
flos,1.013222329835405
robur,1.020099228712277
iuuentus,1.0240673794332904
amitto,1.0145073223543573
multus,1.007338701494267
nobilis,1.0124596653742286
auctoritas,1.0733667467240247
maximus,1.0099974432831158
fraus,1.0112350096300255
capio,1.0112276955046182
ciuis,1.0152469650091955
potissimum,1.0317134179683705
foro,1.025401916682965
ira,1.0171178789706539
uirtus,1.0112486629472097
bellicus,1.013901212229992
haudquaquam,1.027088977622825
cautior,1.0285161425666742
quominus,1.0552423617148383
dux,1.0108716255958534
applico,1.0373673751820796
posterus,1.0510857299516922
corycus,1.1701079453749283
iouis,1.0528371610021887
adiuro,1.0983712078955485
uxor,1.0120842888801378
satin,1.0442442139395254
uolo,1.010719257529421
expecto,1.0074285868007118
ortus,1.0173890822464524
status,1.0303427330144719
caelum,1.0380120219016047
noto,1.0154019919101762
gubernator,1.042971073451273
tempestas,1.0097224481635438
medius,1.0218747948145441
aquilo,1.0710419072867705
septentrio,1.0195543224882275
