Token,Cosine Similarity
diuus,0.99164206
emo,0.98271924
cano,0.9923065
deus,0.95036864
supplico,0.979383
cuma,0.9493382
tono,0.99144495
prae,0.9447875
quot,0.99424946
ibo,0.71654326
de,0.97303414
hic,0.99310935
cum,0.99390876
omnis,0.98424625
uero,0.96136
nex,0.9927413
fortis,0.9808976
sano,0.9752736
res,0.9886406
ubi,0.990015
paco,0.9793197
oro,0.97896564
nemo,0.98706436
uoster,0.7676941
ruminor,0.7267865
mulier,0.97420025
mustela,0.96570885
posthac,0.9699037
numquam,0.9875438
credo,0.98327446
nam,0.98863816
incertior,0.78901416
nullus,0.9942456
nosco,0.98949176
bestia,0.98142505
quin,0.9714915
decio,0.9526255
in,0.98867226
dies,0.9784584
muto,0.9948326
locus,0.9896282
is,0.9640899
ego,0.97997487
capitalis,0.98317266
meus,0.95583546
non,0.991497
hercle,0.9236761
egoquidem,0.7457631
usquam,0.98792225
quisquam,0.9895497
nuto,0.98994064
neque,0.9933054
nicto,0.66986614
tu,0.9848094
magnus,0.99039406
praeda,0.99029225
ago,0.9906822
possum,0.9940966
dico,0.9658942
ex,0.9917991
ager,0.98345685
hostis,0.9886539
qui,0.99303514
circa,0.9840816
thyatira,0.9022118
sum,0.9909585
hortor,0.98881686
perpello,0.9447927
livium,0.8743936
ut,0.9898435
quinque,0.9910404
mille,0.9850311
miles,0.989663
sui,0.99350846
mitto,0.9796779
ingens,0.9933285
intra,0.98809814
paucus,0.98755306
auerto,0.975189
inter,0.9942274
phocaea,0.8749133
seditio,0.98825526
orior,0.9744108
quidam,0.9870268
ad,0.9889238
antiochus,0.98424613
multitudo,0.9819433
animus,0.9932693
auoco,0.97519284
grauis,0.9937274
hiberna,0.97623944
nauis,0.98713934
tributum,0.98014534
quod,0.9884341
toga,0.9867805
quingenti,0.9858644
imperaio,0.5370939
tunica,0.98002
etiam,0.9863982
inopia,0.98948866
frumentum,0.9725005
propter,0.9805505
quoque,0.97972965
et,0.9818592
praesidium,0.97991025
romanus,0.98643684
excedo,0.9865655
tum,0.9877081
libero,0.96728957
metus,0.99412966
factio,0.9731413
plebs,0.945029
contio,0.98856044
traho,0.9953217
senatus,0.9925214
optimas,0.95974827
societas,0.98757637
persto,0.9831922
censeo,0.9762046
defectio,0.9580756
auctor,0.9837029
plus,0.9933263
apud,0.9887419
ualeo,0.98310196
