Target Word,Neighbor,Cosine Similarity
torcular,torcularis,0.93411326
torcular,tabernaculum,0.8867949
torcular,cubile,0.88387483
torcular,latibulum,0.8828294
torcular,cisterna,0.88192844
torcular,atrium,0.8812598
torcular,lupanar,0.8790161
torcular,pistrinum,0.87639976
torcular,lilium,0.875062
torcular,pratum,0.8743241
torcular,horreum,0.87381965
torcular,cenaculum,0.8712418
torcular,turibulum,0.8711556
torcular,amphitheatrum,0.87040025
torcular,tentorium,0.86880726
humanitas,diuinitas,0.92291397
humanitas,religio,0.91946495
humanitas,grauitas,0.91865754
humanitas,humilitas,0.90975314
humanitas,philosophia,0.90785223
humanitas,innocentia,0.9076282
humanitas,pietas,0.9062734
humanitas,modestia,0.90176237
humanitas,amicitia,0.9003821
humanitas,humanus,0.90025496
humanitas,disciplina,0.90023303
humanitas,ingenium,0.89984
humanitas,obsequium,0.8998159
humanitas,eruditio,0.89947516
humanitas,que,0.89909613
traduco,abduco,0.96267784
traduco,retraho,0.9529163
traduco,perduco,0.9515773
traduco,reuoco,0.94930375
traduco,contraho,0.9477738
traduco,subduco,0.9462947
traduco,transfero,0.9451471
traduco,induco,0.94458055
traduco,conduco,0.94453746
traduco,traho,0.94417053
traduco,reduco,0.9440587
traduco,deduco,0.94368845
traduco,transmitto,0.9436579
traduco,constringo,0.943403
traduco,redigo,0.9430002
machina,moles,0.9432792
machina,turris,0.94104505
machina,fabrica,0.9408991
machina,scala,0.9397373
machina,rota,0.9379765
machina,mola,0.93753946
machina,columna,0.93728566
machina,que,0.9308784
machina,cratis,0.9292508
machina,sarcina,0.92893064
machina,machinamentum,0.92681134
machina,fossa,0.9256309
machina,,0.9246485
machina,officina,0.92413455
machina,propugnaculum,0.9240531
commentarius,liber,0.9179064
commentarius,annalis,0.91512394
commentarius,historia,0.90312046
commentarius,chronicon,0.9006946
commentarius,tractatus,0.8943021
commentarius,libellus,0.89119756
commentarius,bibliotheca,0.8906879
commentarius,librarius,0.8855932
commentarius,scribo,0.8829001
commentarius,uolumen,0.8826357
commentarius,,0.88178426
commentarius,iurisperitum,0.881294
commentarius,describo,0.8803425
commentarius,conscriptio,0.87779313
commentarius,expono,0.87665915
pastor,rector,0.9345839
pastor,grex,0.9326668
pastor,custos,0.9299362
pastor,lupus,0.92953366
pastor,doctor,0.924429
pastor,latro,0.92227376
pastor,canis,0.9195579
pastor,leo,0.9191744
pastor,taurus,0.9164535
pastor,magister,0.9160243
pastor,pecus,0.9156019
pastor,comes,0.91423786
pastor,pasco,0.90917253
pastor,uiator,0.90848905
pastor,hospes,0.90848184
spatula,brassica,0.87184936
spatula,cucurbita,0.87018883
spatula,buccella,0.86762536
spatula,spatha,0.86682516
spatula,lenticula,0.86382425
spatula,sportula,0.86189365
spatula,uua,0.8607861
spatula,farina,0.85993016
spatula,sporta,0.8576723
spatula,ruta,0.85442936
spatula,lactuca,0.85062987
spatula,pisa,0.84992313
spatula,passa,0.848418
spatula,trulla,0.84776944
spatula,faba,0.8463057
lenticula,lentiscus,0.9066369
lenticula,cicercula,0.8915012
lenticula,craticula,0.88672984
lenticula,farina,0.88637376
lenticula,lentiscinus,0.8859595
lenticula,lactuca,0.88525856
lenticula,brassica,0.8837013
lenticula,fasciculus,0.88248736
lenticula,faba,0.8810693
lenticula,oliua,0.8808471
lenticula,buccella,0.8803752
lenticula,collyrida,0.8792337
lenticula,uua,0.8788966
lenticula,scilla,0.8761964
lenticula,squilla,0.8758117
scando,conscendo,0.9721694
scando,transcendo,0.9565986
scando,attollo,0.9526254
scando,linquo,0.9437659
scando,capesso,0.93612957
scando,gradior,0.93335813
scando,stringo,0.9325826
scando,sterno,0.93242186
scando,percurro,0.93084055
scando,porrigo,0.9295206
scando,tendo,0.9289683
scando,demitto,0.92892134
scando,erigo,0.928754
scando,protero,0.92865825
scando,necto,0.92858505
feretrum,cadauer,0.91313666
feretrum,sepulcrum,0.89904255
feretrum,tumulus,0.89076954
feretrum,sacellum,0.8906077
feretrum,sepulchrum,0.88915837
feretrum,sepelio,0.88838494
feretrum,humo,0.8838356
feretrum,bustum,0.88161933
feretrum,torus,0.88011694
feretrum,que,0.878557
feretrum,lectus,0.8745177
feretrum,exequia,0.87431026
feretrum,tumulo,0.8735114
feretrum,cinis,0.8711381
feretrum,,0.8711084
ferculum,uasculum,0.9143661
ferculum,poculum,0.9109925
ferculum,sedile,0.90415955
ferculum,uellus,0.9022696
ferculum,libamen,0.9022042
ferculum,prandium,0.9020916
ferculum,uincula,0.89992505
ferculum,donarium,0.8991251
ferculum,monile,0.8982115
ferculum,cunabulum,0.8955664
ferculum,fragmen,0.8949025
ferculum,receptaculum,0.894805
ferculum,alimonia,0.8940145
ferculum,pabulum,0.8936477
ferculum,cenaculum,0.8927461
operator,fabricator,0.9193908
operator,dominator,0.9183159
operator,generator,0.9159933
operator,ordinator,0.90258425
operator,conservator,0.8968243
operator,sator,0.8952879
operator,fictor,0.8916143
operator,scrutator,0.8908088
operator,probator,0.88996696
operator,institutor,0.88784003
operator,diuisor,0.8816665
operator,quaesitor,0.8798702
operator,altor,0.87748843
operator,extinctor,0.87529165
operator,factor,0.87217414
operatio,opus,0.9355654
operatio,operor,0.9289949
operatio,ordinatio,0.9093126
operatio,professio,0.90920705
operatio,dispositio,0.9087935
operatio,confessio,0.9052695
operatio,uoluntas,0.90382546
operatio,uirtus,0.903397
operatio,unio,0.9017812
operatio,conuersio,0.90000266
operatio,distinctio,0.899902
operatio,exercitatio,0.8998692
operatio,demonstratio,0.899247
operatio,potentia,0.8988852
operatio,diuisio,0.89831257
examino,exploro,0.9562591
examino,inspicio,0.9393548
examino,considero,0.9363711
examino,inquiro,0.9337115
examino,inuestigo,0.92933136
examino,perpendo,0.92500377
examino,delibero,0.9229234
examino,exquiro,0.9228503
examino,discutio,0.922081
examino,approbo,0.9206693
examino,scruto,0.9206494
examino,recenseo,0.9201615
examino,digero,0.9166749
examino,aestimo,0.9156434
examino,emendo,0.91551864
discus,lanx,0.8967714
discus,stratum,0.8825361
discus,angulo,0.88135576
discus,pilum,0.8805461
discus,circo,0.87749386
discus,calx,0.875173
discus,testa,0.8734131
discus,lectus,0.87319183
discus,pollex,0.8722422
discus,canus,0.8718541
discus,aper,0.8708203
discus,serra,0.8705673
discus,rete,0.8698456
discus,assum,0.8684554
discus,linum,0.86834383
cannula,scutula,0.85019624
cannula,amiculum,0.83888805
cannula,sarculum,0.8352951
cannula,pannulum,0.82909703
cannula,musculus,0.8265611
cannula,testula,0.825986
cannula,laterculus,0.8259332
cannula,uirgula,0.8251563
cannula,palmula,0.8243128
cannula,uaccula,0.82202125
cannula,squama,0.82068706
cannula,falculus,0.81985
cannula,cuniculus,0.8165359
cannula,lammina,0.81556535
cannula,fasceus,0.8135729
acus,serra,0.8903055
acus,lanx,0.8855156
acus,calx,0.8852143
acus,arcus,0.88459957
acus,uirga,0.8836734
acus,cera,0.8810244
acus,acuo,0.8802964
acus,leuis,0.8797635
acus,hasta,0.87956023
acus,solidus,0.8791434
acus,auis,0.8791422
acus,canus,0.8790484
acus,humus,0.87674314
acus,,0.87663305
acus,fax,0.8765332
fistula,ungula,0.9375608
fistula,uena,0.93115264
fistula,lancea,0.92805386
fistula,claua,0.9270792
fistula,concha,0.92693007
fistula,harmonia,0.9265084
fistula,uirga,0.9236358
fistula,fascia,0.92273176
fistula,calamus,0.9226903
fistula,pluma,0.9216943
fistula,nenia,0.9213816
fistula,pharetra,0.92014754
fistula,clauus,0.91977775
fistula,tympanum,0.91899765
fistula,canna,0.9159853
monitor,quaesitor,0.9164459
monitor,hortator,0.9125857
monitor,speculator,0.91146815
monitor,uector,0.9089698
monitor,altor,0.9057343
monitor,suasor,0.9056605
monitor,repertor,0.9050165
monitor,tonsor,0.89944804
monitor,traditor,0.8989506
monitor,cunctator,0.8974596
monitor,institutor,0.89661765
monitor,uenator,0.8963701
monitor,educator,0.8956475
monitor,sessor,0.8947025
monitor,ductor,0.8944521
iniectio,insinuatio,0.87017107
iniectio,coitio,0.8576339
iniectio,adsertio,0.85591847
iniectio,exprobratio,0.8517658
iniectio,renuntiatio,0.85093826
iniectio,contextio,0.85036266
iniectio,contestatio,0.84938943
iniectio,traductio,0.8474766
iniectio,taxatio,0.8472433
iniectio,inicio,0.8462963
iniectio,emancipatio,0.845304
iniectio,frustratio,0.84475577
iniectio,cessatio,0.84295607
iniectio,criminatio,0.8425721
iniectio,intentatio,0.8423788
ciuis,hospes,0.9399323
ciuis,cliens,0.93936193
ciuis,senator,0.93911016
ciuis,socius,0.9388621
ciuis,cultor,0.93642044
ciuis,que,0.93468374
ciuis,miles,0.9339027
ciuis,latro,0.9293982
ciuis,defensor,0.9287918
ciuis,popularis,0.92860293
ciuis,,0.9275558
ciuis,sodalis,0.9265975
ciuis,colonus,0.92335343
ciuis,patria,0.92205256
ciuis,iuuenis,0.92141104
patria,patrius,0.9454168
patria,ciuis,0.92205256
patria,socius,0.91650146
patria,que,0.91472286
patria,parens,0.9110075
patria,lar,0.9084143
patria,paternus,0.9071375
patria,germanus,0.905292
patria,priuo,0.9025166
patria,mereo,0.901913
patria,patro,0.9017937
patria,,0.90082383
patria,natiuus,0.9002533
patria,subeo,0.89968455
patria,sedes,0.89901936
natio,gens,0.9599483
natio,regio,0.9095274
natio,gentilis,0.89560354
natio,prouincia,0.8930331
natio,factio,0.8890162
natio,legio,0.88893116
natio,barbarus,0.88189256
natio,bestia,0.8785352
natio,iudaeus,0.8774719
natio,multitudo,0.87597865
natio,plebs,0.8749756
natio,barbara,0.8725158
natio,uulgus,0.8718029
natio,,0.868524
natio,genus,0.8674723
populus,plebs,0.927136
populus,que,0.9068681
populus,grex,0.9068269
populus,ciuis,0.9057761
populus,miles,0.9047993
populus,uulgus,0.90479344
populus,exercitus,0.903857
populus,,0.90163684
populus,puer,0.901613
populus,turba,0.90095127
populus,multitudo,0.9000607
populus,gens,0.8951119
populus,israhel,0.8943137
populus,mundus,0.8940993
populus,princeps,0.892856
satrapa,optimas,0.9124638
satrapa,scriba,0.90865755
satrapa,,0.8992926
satrapa,turma,0.8988451
satrapa,leuitas,0.8952811
satrapa,satelles,0.8951438
satrapa,syrus,0.89497304
satrapa,que,0.8932244
satrapa,conuiua,0.89313823
satrapa,aegyptius,0.89121836
satrapa,gaza,0.8908474
satrapa,scytha,0.89072335
satrapa,antistes,0.89006805
satrapa,levita,0.8900598
satrapa,praepono,0.88995767
sacerdos,pontifex,0.9494269
sacerdos,minister,0.9259739
sacerdos,magistratus,0.9191749
sacerdos,presbyter,0.91339034
sacerdos,senior,0.91215986
sacerdos,altar,0.9113383
