Target Word,Neighbor,Cosine Similarity
torcular,torcularius,0.9420154
torcular,dolium,0.91470826
torcular,torculum,0.9049859
torcular,seminarium,0.8913332
torcular,uinarius,0.88865787
torcular,pomarius,0.8883182
torcular,pistrinum,0.88226485
torcular,armarium,0.88067526
torcular,sagularia,0.88030994
torcular,balneum,0.8790419
torcular,leporarium,0.87765384
torcular,sagularius,0.87746453
torcular,horreum,0.8769333
torcular,puteus,0.87640256
torcular,mortarium,0.876096
humanitas,clementia,0.93105847
humanitas,pietas,0.928524
humanitas,diuinitas,0.91627127
humanitas,bonitas,0.9149194
humanitas,grauitas,0.9133669
humanitas,sanctitas,0.9132134
humanitas,innocentia,0.9092279
humanitas,indulgentia,0.90916157
humanitas,prudentia,0.90865105
humanitas,modestia,0.9069505
humanitas,eloquentia,0.9056013
humanitas,moderatio,0.90553117
humanitas,iustitia,0.9036082
humanitas,misericordia,0.90235114
humanitas,fortitudo,0.8992351
traduco,transmitto,0.96558356
traduco,reduco,0.96509135
traduco,deduco,0.96301544
traduco,abduco,0.9611045
traduco,retraho,0.9584424
traduco,educo,0.95833546
traduco,perduco,0.9573492
traduco,subduco,0.95614433
traduco,reuoco,0.9553782
traduco,contraho,0.9537024
traduco,redigo,0.9534631
traduco,adduco,0.9530678
traduco,compello,0.95144165
traduco,transfero,0.95019245
traduco,duco,0.9499162
machina,turris,0.939633
machina,scala,0.93947065
machina,sarcina,0.93430287
machina,fossa,0.9310177
machina,moles,0.9307227
machina,columna,0.92915976
machina,cratis,0.9280728
machina,trabs,0.9273352
machina,mola,0.9253413
machina,agger,0.9225881
machina,armamentum,0.921841
machina,que,0.92178285
machina,sagitta,0.92144394
machina,ballista,0.9202692
machina,fabrica,0.91872585
commentarius,annalis,0.9212808
commentarius,bibliotheca,0.902109
commentarius,historia,0.899738
commentarius,liber,0.8958772
commentarius,scribo,0.8915214
commentarius,monumentum,0.8911669
commentarius,tabula,0.8889882
commentarius,commentariolum,0.8885695
commentarius,thesaurus,0.8877032
commentarius,librarius,0.88163257
commentarius,describo,0.8803353
commentarius,,0.8795863
commentarius,libellus,0.8787341
commentarius,index,0.8781791
commentarius,actum,0.8780367
pastor,lupus,0.93978095
pastor,custos,0.93208283
pastor,uenator,0.93122417
pastor,grex,0.9306972
pastor,canis,0.9298055
pastor,pecus,0.9286358
pastor,latro,0.9258285
pastor,leo,0.9256827
pastor,rector,0.92426753
pastor,taurus,0.9240099
pastor,serpens,0.9226349
pastor,bos,0.92242354
pastor,comes,0.92234546
pastor,pasco,0.9211534
pastor,agricola,0.91995996
specillum,penicillum,0.8969674
specillum,linteolum,0.89627993
specillum,hamulus,0.8856558
specillum,linamentum,0.88454854
specillum,ferramentum,0.87712157
specillum,scalpellum,0.8768648
specillum,forfex,0.87503266
specillum,manubriolum,0.87051827
specillum,testiculus,0.8690616
specillum,maxilla,0.8606369
specillum,medicamentum,0.860583
specillum,collyrium,0.8582897
specillum,scriptorium,0.8537145
specillum,panniculus,0.8505494
specillum,musculus,0.8496728
spatula,cucurbitula,0.84630144
spatula,crustum,0.8119203
spatula,spongia,0.79663205
spatula,uolsellus,0.79371077
spatula,sportula,0.7930881
spatula,uulsella,0.7892951
spatula,membrana,0.78524363
spatula,spongea,0.7824196
spatula,lenticula,0.7786681
spatula,glebula,0.7717425
spatula,membranula,0.7705314
spatula,farina,0.76625574
spatula,uolsella,0.76536965
spatula,caltula,0.76309264
