Token,PRT
flamen,1.0288137734296334
sumo,1.0106784633258623
nihil,1.0083347467187322
cum,1.0101493504980448
fides,1.0116768570727706
graculum,1.1534979579766929
sum,1.0086188094014543
amaracinus,1.0885341143704572
suus,1.0075682251292941
neque,1.0064877036946027
mula,1.0461187977090312
pario,1.0071612160578223
lapis,1.0296818528412888
lana,1.021349751992419
fero,1.013155880452648
hic,1.0091312055777766
morbus,1.0102374265235905
caput,1.030135859889573
cresco,1.009923209021134
aut,1.0111958193434563
si,1.0099757980960542
tabesco,1.0290731345874407
uniuersaliter,1.2263657717291718
ergo,1.015602435719495
omnis,1.007210373562956
differentia,1.0642003230935793
altero,1.0685274102380384
facio,1.006045067504353
quilibet,1.0199014081655866
aduenio,1.0182853829282166
sed,1.0069481952019899
is,1.0095926616550548
qui,1.0049290425126771
communiter,1.0292919578467516
et,1.0082883274444652
proprie,1.0235965340321789
ille,1.0075098361107606
autem,1.0142944943205197
magis,1.0131210683715368
alius,1.0129897951211195
atque,1.015402299184493
ne,1.0149108980560324
quis,1.0140389733611639
desum,1.0130200106463247
tu,1.0058087600696486
forte,1.0105483700818167
malus,1.0125843842148474
castigo,1.013361069484737
corrumpo,1.0100954054345648
parturio,1.021592672735049
orbis,1.0109505681243682
acrus,1.0404368575453335
immensus,1.0129888165107626
misceo,1.0085735765901886
ira,1.0060568314948761
dolor,1.0070037387766175
annus,1.0171860825125731
regnum,1.0199973322461284
ad,1.0067427553649
mors,1.0064369262155117
,1.0506723540143472
insidiosus,1.0445972596127924
loquor,1.0133007219425554
instigo,1.039672311305499
pes,1.0060451881592698
trunco,1.045053646683852
de,1.0104826969789504
res,1.0174199309858931
exspolio,1.0579566370112192
debilitas,1.0259817026955262
perduco,1.0098064383013923
patricius,1.1153846844237274
idem,1.0191300215061183
que,1.0049005115181426
consilium,1.0176919744401673
in,1.0052123938450181
consentio,1.0151816012276176
uilla,1.0272076414399016
iubeo,1.0173526214487334
occido,1.009653358214165
ejus,1.0367583159435334
romanus,1.0251727164949065
genus,1.0609942077684114
nascor,1.010362206905689
concubina,1.0381330947829859
filius,1.0360660208314705
nomen,1.0173785324068518
sanctus,1.0113041333397308
lauacrum,1.064099752248141
suscipio,1.013931114490368
episcopus,1.076952762970608
lugdunensis,1.152894823426642
rex,1.028140738931788
dirigo,1.0603378640278454
exinde,1.0467688190569493
filia,1.0275194925783695
js,1.0317969185111713
matrimonium,1.064243797182115
socio,1.027017742196339
adduco,1.0098970077227805
ubi,1.0111822283982748
do,1.0059562733340537
sacramentum,1.0601318345459891
ut,1.0080946367375914
ab,1.0174119718320536
umquam,1.0134164045823688
degrado,1.1309818848385798
ipse,1.009025298441086
accipio,1.0114182629993635
praesento,1.0731035934915638
quam,1.016053277642598
gaudeo,1.0204765406552205
factio,1.0635832932151779
avia,1.1167822175573185
uirilis,1.0249429299794666
coitus,1.022219850051168
non,1.0063365938731044
cognosco,1.0116312275691737
uerbum,1.020111075574926
germana,1.056934102767926
efficio,1.0237587443535188
odiosus,1.0251468454913948
post,1.0086109267161645
circulus,1.020313258957304
thesaurus,1.0246773853003044
indignor,1.01437673226162
legatio,1.0253565447059965
legatus,1.0213846966069302
pergo,1.033307206893931
imperator,1.4961743127202163
diocletianus,1.5063627451130035
propono,1.021866890288406
inter,1.0061397905202787
uos,1.0146051796146147
sine,1.0073442659330607
scriptura,1.01221117480747
placeo,1.0164494014100698
frater,1.0099757980960542
tuus,1.0129650857884707
successio,1.0317996471004047
aequus,1.0164802547753722
ex,1.0134548488934534
pars,1.0123453005806806
diuido,1.0257960195689304
transactio,1.032356835327083
causa,1.0190396453979627
probo,1.0199445004622125
possum,1.009516300075624
intercedo,1.023690093819254
conuentio,1.0404389222712147
exceptio,1.0372745052869592
tueor,1.0144707611002606
possideo,1.0118849871240696
quod,1.016749885717863
aduersarius,1.0129745045503264
teneo,1.0172272187266833
nullus,1.0087900759953023
actio,1.0616338307092663
prospicio,1.0120924701699885
debeo,1.0223527167133475
intellego,1.0264095942519356
utor,1.0216342905670275
concedo,1.0308156899224425
nisi,1.0214504885084799
paro,1.0085966775592743
adimpleo,1.0343675395883867
iterum,1.0117760605419894
agon,1.0385709912663228
italius,1.0191484701063553
accedo,1.0137551576856298
unanimiter,1.0634286419854504
quattuor,1.008504825636768
exercitus,1.0410602606470574
undique,1.0103033719442058
super,1.0191180117024852
irruo,1.0253518447997754
aufero,1.0176313568841873
damno,1.0147706903013196
eo,1.009356567387175
tantus,1.0141694151913936
reuerentia,1.023620515685286
duco,1.0080790695869037
uero,1.0307474195705433
eueho,1.0410716949548418
naualis,1.0270708063060123
italia,1.0171511162630529
per,1.0061612715958759
mare,1.009786624607311
reuertor,1.0163212044932244
diuino,1.0753023716210484
nutus,1.027600616221683
sortior,1.0242305518966917
comperio,1.0303710817369092
despicio,1.0089681360333984
perfidus,1.0242630675652047
persuadeo,1.0285530926606077
desiderium,1.0140582187765117
exsilium,1.0740638713111739
regresdo,1.067042911528736
lapido,1.0313850670865023
praecipio,1.04454705145416
cujus,1.0210860035237572
sepulcrum,1.0200203393461897
mirus,1.015325732175565
uirtus,1.009907038221633
dies,1.1220823525745094
transitus,1.0482412179610137
dominus,1.0336434696161898
integer,1.0247670115883245
assiduitas,1.0324047983898212
ostendo,1.0261920574723766
digno,1.0251003686635551
credo,1.0085991635533975
pro,1.0117545831102541
geso,1.114070091816468
destruo,1.0323827538856922
mortuus,1.015234923680151
succedo,1.0261850902859377
uir,1.0146312576185568
sapiens,1.012937136337941
totus,1.010455066917921
laudabilis,1.0335545761784661
ualde,1.0162356347338652
pietas,1.0212016680853053
plenis,1.8106278395582285
nam,1.0109294912120104
aduersus,1.0161164151472257
manus,1.007788893861259
publica,1.0161671893002977
fortiter,1.0188327073577514
dimico,1.0161234309098865
prouincia,1.041716039451204
cantabria,1.1024815602689608
subigo,1.0171153508054005
aliquando,1.0237305709093163
francus,1.059854441034266
dux,1.018070287391043
francium,1.1254592139153992
tempus,1.0137518498905231
tributum,1.0107951313281727
multus,1.0064896358758513
impleo,1.0113675355261105
imperium,1.0150176145063916
reuoco,1.0140548477114975
supra,1.0383347100668525
lego,1.013608532834283
praeoccupo,1.0248040057794365
plus,1.0131352621122363
ciuitas,1.0167932050943127
littus,1.0325721640297036
usque,1.0107475109676471
fundamentum,1.0276194357163626
cumque,1.0169906230392176
trucido,1.0236657341505306
