Target Word,Neighbor,Cosine Similarity
torcular,lupanar,0.8754033
torcular,tabernaculum,0.872018
torcular,pratum,0.8651745
torcular,uadum,0.86310273
torcular,cubile,0.86165214
torcular,latibulum,0.8602811
torcular,atrium,0.85995686
torcular,claustrum,0.85933137
torcular,uenabulum,0.85838556
torcular,cadauer,0.85469973
torcular,liquor,0.85457927
torcular,torcularis,0.8538102
torcular,ferculum,0.85377514
torcular,pomarium,0.8532683
torcular,taberna,0.852994
humanitas,humilitas,0.8922541
humanitas,pietas,0.88638747
humanitas,diuinitas,0.88234806
humanitas,humanus,0.88134915
humanitas,deitas,0.87839407
humanitas,religio,0.8766001
humanitas,passio,0.8764863
humanitas,eloquentia,0.8742838
humanitas,maiestas,0.87206066
humanitas,caro,0.8700746
humanitas,que,0.8696331
humanitas,fortitudo,0.86756253
humanitas,infirmitas,0.86713344
humanitas,oratio,0.86455864
humanitas,paupertas,0.8641738
traduco,abduco,0.96268475
traduco,traho,0.95219153
traduco,educo,0.94922566
traduco,transmitto,0.9484413
traduco,perduco,0.948283
traduco,deduco,0.9472436
traduco,adduco,0.946704
traduco,reduco,0.94505113
traduco,reuoco,0.9429554
traduco,transfero,0.9424949
traduco,subduco,0.94235885
traduco,attraho,0.9419741
traduco,redigo,0.9418514
traduco,extraho,0.9407778
traduco,retraho,0.93990254
machina,scala,0.95078516
machina,turris,0.9371136
machina,galea,0.9285674
machina,sarcina,0.92710173
machina,fossa,0.92301357
machina,trabs,0.9223083
machina,officina,0.92196625
machina,fabrica,0.91956985
machina,sagitta,0.9193125
machina,columna,0.91836184
machina,machinamentum,0.9165432
machina,lorica,0.9165427
machina,agger,0.912207
machina,catena,0.9102613
machina,moles,0.90739334
commentarius,tractatus,0.8896723
commentarius,liber,0.8840316
commentarius,libellus,0.87912667
commentarius,uolumen,0.8760381
commentarius,digero,0.8728292
commentarius,commentum,0.87079155
commentarius,thesaurus,0.86571103
commentarius,parabola,0.8651281
commentarius,explanatio,0.8559181
commentarius,narratio,0.85575503
commentarius,disputatio,0.8555216
commentarius,hymnus,0.8536853
commentarius,canonicus,0.85329956
commentarius,membrana,0.85300785
commentarius,canon,0.8527887
pastor,grex,0.9382323
pastor,lupus,0.92150575
pastor,custos,0.9194319
pastor,rector,0.9146209
pastor,doctor,0.9137407
pastor,magister,0.91316867
pastor,praesul,0.90704966
pastor,latro,0.9056419
pastor,pasco,0.9049813
pastor,uiator,0.90449286
pastor,que,0.9034843
pastor,agnus,0.9032209
pastor,ouis,0.9026779
pastor,pecus,0.9018773
pastor,sacerdos,0.90072596
spatula,sportula,0.91952646
spatula,palma,0.89330536
spatula,spina,0.89050996
spatula,carta,0.8889315
spatula,spica,0.88810706
spatula,oliua,0.8878983
spatula,palea,0.8871993
spatula,sura,0.8851379
spatula,penna,0.8849782
spatula,charta,0.88369775
spatula,sarcina,0.88323766
spatula,costa,0.8818707
spatula,tabella,0.88184667
spatula,herba,0.88146544
spatula,quadriga,0.88127893
lenticula,nouacula,0.84131515
lenticula,caniculus,0.8208504
lenticula,ceruisia,0.817465
lenticula,craticula,0.813365
lenticula,olla,0.8112838
lenticula,nux,0.80947274
lenticula,feniculus,0.80837893
lenticula,argilla,0.8070884
lenticula,salix,0.80302984
lenticula,anguilla,0.80246407
lenticula,patella,0.8017911
lenticula,nauicula,0.80174446
lenticula,oliua,0.80140305
lenticula,iuvencula,0.8010774
lenticula,testa,0.79865026
scando,conscendo,0.9701094
scando,linquo,0.936355
scando,ascendo,0.932874
scando,gradior,0.9320813
scando,attollo,0.92949843
scando,transcendo,0.9268933
scando,recido,0.9268839
scando,percurro,0.92312026
scando,demitto,0.9224045
scando,transilio,0.92136145
scando,findo,0.9193427
scando,stringo,0.9182254
scando,erigo,0.9179388
scando,sterno,0.91742104
scando,leuo,0.9170424
feretrum,tumulus,0.88743806
feretrum,culter,0.8800646
feretrum,plectrum,0.87975013
feretrum,sepulchrum,0.87962806
feretrum,solarium,0.875734
feretrum,loculus,0.869954
feretrum,sudarium,0.8690044
feretrum,cribro,0.86575675
feretrum,lectulus,0.86514825
feretrum,stratum,0.86338323
feretrum,pauimentum,0.8632494
feretrum,sepulcrum,0.8631228
feretrum,lectus,0.8622789
feretrum,torus,0.86043495
feretrum,cadauer,0.85891235
ferculum,uasculum,0.94874877
ferculum,poculum,0.9138492
ferculum,receptaculum,0.9136295
ferculum,cenaculum,0.91202706
ferculum,umbraculum,0.8976878
ferculum,sarculum,0.89745086
ferculum,uellus,0.89655817
ferculum,monile,0.8963938
ferculum,conuiuium,0.89589083
ferculum,pabulum,0.8944803
ferculum,prandium,0.8940227
ferculum,pomarium,0.8926878
ferculum,cubile,0.8914947
ferculum,uehiculum,0.89137864
ferculum,libamen,0.8893884
