id,title,creator,date,type,file
IT-LAT0744,De exhortatione castitatis,"Tertullianus, Quintus Septimius Florens",205,prose,lat_0205_IT-LAT0744.txt
IT-LAT0606,De resurrectione carnis liber,"Tertullianus, Quintus Septimius Florens",210,prose,lat_0210_IT-LAT0606.txt
IT-LAT0733,Liber de corona militis,"Tertullianus, Quintus Septimius Florens",210,prose,lat_0210_IT-LAT0733.txt
IT-LAT0746,De anima liber,"Tertullianus, Quintus Septimius Florens",210,prose,lat_0210_IT-LAT0746.txt
IT-LAT0736,De virginibus velandis,"Tertullianus, Quintus Septimius Florens",213,prose,lat_0213_IT-LAT0736.txt
IT-LAT0747,Liber de fuga in persecutione,"Tertullianus, Quintus Septimius Florens",213,prose,lat_0213_IT-LAT0747.txt
IT-LAT0755,Liber de monogamia,"Tertullianus, Quintus Septimius Florens",213,prose,lat_0213_IT-LAT0755.txt
IT-LAT0788,Adversus Praxean,"Tertullianus, Quintus Septimius Florens",213,prose,lat_0213_IT-LAT0788.txt
IT-LAT0201,Epitome Historiarum Philippicarum Pompei Trogi,"Iustinus Iunianus, Marcus",250,prose,lat_0250_IT-LAT0201.txt
IT-LAT0204,Disticha Catonis,[Auctor incertus],250,poetry,lat_0250_IT-LAT0204.txt
IT-LAT0607,De saeculi istius fine,Commodianus,250,poetry,lat_0250_IT-LAT0607.txt
IT-LAT0621,Sententiarum receptarum libri quinque,"Paulus, Julius",250,prose,lat_0250_IT-LAT0621.txt
IT-LAT0665,De mirabilibus mundi,"Solinus, Caius Iulius",250,prose,lat_0250_IT-LAT0665.txt
IT-LAT0846,Acta,Acholius,250,prose,lat_0250_IT-LAT0846.txt
IT-LAT0865,De Trinitate,Novatianus,250,prose,lat_0250_IT-LAT0865.txt
IT-LAT0913,Fragmentum de metriis,Censorinus,250,prose,lat_0250_IT-LAT0913.txt
IT-LAT0914,De musica fragmentum,Censorinus,250,prose,lat_0250_IT-LAT0914.txt
MQDQ-41,carmen de duobus populis,Commodianus,250,poetry,lat_0250.0_MQDQ-41.txt
MQDQ-39,instructiones 1,Commodianus,250,poetry,lat_0250.0_MQDQ-39.txt
MQDQ-40,instructiones 2,Commodianus,250,poetry,lat_0250.0_MQDQ-40.txt
MQDQ-123,in Caesares,uersus ex Historia Augusta,250,poetry,lat_0250.0_MQDQ-123.txt
MQDQ-138,Medea tragoedia,Hosidius Gaetae,250,poetry,lat_0250.0_MQDQ-138.txt
MQDQ-234,de aucupio,Nemesianus,250,poetry,lat_0250.0_MQDQ-234.txt
MQDQ-233,cynegetica,Nemesianus,250,poetry,lat_0250.0_MQDQ-233.txt
