Token,Cosine Similarity
duco,0.9942097
exul,0.9899117
ii,0.8555395
frequens,0.97749376
oro,0.97839886
insisto,0.9826644
uicina,0.992934
innoxius,0.9862209
pereo,0.9867448
sino,0.9882714
exilium,0.97141755
nullus,0.99141717
alius,0.98882866
causa,0.98636794
fides,0.97851586
erga,0.9667891
idem,0.9850021
pello,0.9908991
mens,0.9905991
seruitus,0.9822553
effugio,0.98950005
moio,0.7649349
prex,0.98900545
eumene,0.98102635
rex,0.9726981
necessitudo,0.9809245
commemorandus,0.8082588
obsesdo,0.91452104
regio,0.98737586
casus,0.9789891
misero,0.99233806
oppugnatio,0.97591627
abstineo,0.98463714
lego,0.9854899
peruenio,0.98511744
principium,0.98077464
sermo,0.9733248
inter,0.9948933
tribunus,0.9750041
secretus,0.9856371
orior,0.9753129
auris,0.98866445
aemilium,0.9124717
abduco,0.9822885
tergum,0.98974836
liber,0.98388565
relinquo,0.9909965
tot,0.9944373
propinquus,0.98900807
impune,0.98732936
conor,0.9883421
aemilis,0.9666326
uoco,0.98365986
percontor,0.986351
uter,0.98021615
num,0.9824549
uniuersus,0.9573452
nanciscor,0.9473784
tempus,0.9889771
seleucus,0.9906235
filius,0.96247077
hibernum,0.9538105
exercitus,0.96440375
aeolis,0.52660507
contineo,0.98793685
ferendus,0.98171866
ops,0.99090236
perlicio,0.89887905
transeo,0.9898053
finis,0.98773456
regnum,0.9834825
eumenus,0.95104563
procul,0.98565745
oppugno,0.9842161
infestus,0.98943484
signum,0.98372495
accedo,0.98230493
depopulatus,0.95808244
arx,0.9827273
pergamus,0.9505213
attalus,0.9793869
pono,0.98837066
eques,0.98950684
armatura,0.96937937
experior,0.983162
paro,0.99387956
intra,0.98456264
recipio,0.98707706
obsideo,0.98981136
amica,0.95526737
defero,0.9883379
erotio,0.7572528
fermes,0.95210695
sard,0.78996056
castra,0.9819933
caicus,0.8752016
amnis,0.9947175
statiuus,0.94481397
mixtus,0.993413
uarius,0.9916694
multus,0.9918657
gallus,0.9888686
merces,0.9808929
conduco,0.98313266
admixtus,0.9700433
passum,0.9772158
pergamenus,0.9567596
nuntio,0.9827669
eume,0.98510647
auoco,0.9782231
domesticus,0.9748647
praesto,0.9862659
pedes,0.9830897
priusquam,0.9746122
sentio,0.99150777
aut,0.9944183
rursus,0.9871131
fio,0.9904306
discrimen,0.98619264
detractans,0.92177624
post,0.9872794
dies,0.89962715
rego,0.98967093
ubi,0.98804593
copia,0.9802823
adlo,0.93505305
sub,0.99125814
audio,0.9768747
consul,0.97961843
macedonia,0.99044573
hellespontus,0.92740023
opus,0.9718291
urgeo,0.9939288
de,0.97867644
pax,0.9818919
tumulus,0.98481154
quidam,0.98780954
equitatus,0.9839195
sex,0.98760086
campus,0.99575096
descendo,0.98010206
missus,0.9838858
caduceator,0.9429814
accio,0.9842433
adhibeo,0.9914458
aspernor,0.9890014
honestus,0.98581314
impono,0.9905135
inquam,0.98902774
includo,0.99371284
obsedior,0.88224745
uelut,0.9787768
lex,0.9806278
accipio,0.9882411
iste,0.9865223
sine,0.9931822
auctoritas,0.97442025
senatus,0.98205936
pango,0.964856
egon,0.89325976
do,0.9921478
quaero,0.98931074
extemplo,0.950876
deduco,0.98700446
an,0.9933998
resto,0.99281645
ergo,0.9642093
hiberna,0.9756578
reduco,0.9843514
exhaurio,0.9909977
commeatus,0.9773348
penis,0.94317734
instauro,0.9568001
nouus,0.9919801
integro,0.9736386
impetus,0.99003714
prolato,0.7225043
remitto,0.9923804
hiemps,0.988907
dium,0.9645301
perficio,0.98004735
uinco,0.99560463
responsum,0.9863185
aduentus,0.97803265
nequiquam,0.97571605
primum,0.9890677
seleuco,0.98348033
iter,0.99008024
opulentus,0.98687243
thebis,0.869409
carmen,0.99539244
homus,0.9766544
nobilito,0.9550841
ullus,0.99029756
pario,0.9790458
praeda,0.9896147
circumveco,0.9087397
eumen,0.943268
forte,0.9797509
achaia,0.9867308
centum,0.9913167
praepono,0.98518443
egredior,0.97357094
obuius,0.9849684
ueteranus,0.97484946
dux,0.989626
philopoemen,0.9392095
graecus,0.99346584
imperator,0.62582415
discipulus,0.930778
biduum,0.9777279
quies,0.99008423
homo,0.9807252
equus,0.99298143
uiso,0.99017113
radix,0.9885211
fere,0.9796971
collis,0.9897245
succedo,0.9806937
libero,0.974432
populatio,0.97266823
iaculor,0.97738504
excurro,0.9787677
semel,0.99190974
metus,0.99337316
contemptus,0.9923601
neglegentia,0.9872589
apud,0.9873752
istic,0.9078538
sterno,0.9942641
infreno,0.86673903
arma,0.9940211
ordo,0.9848845
dilapdo,0.9564141
spargo,0.99569255
iuvenalis,0.9488234
lusus,0.9862373
lasciuio,0.9823041
uersus,0.9895403
uescor,0.9722072
umbra,0.9916632
somnus,0.99398774
diophanis,0.95229673
alo,0.99441624
pergamo,0.9569566
contemplor,0.9769438
porta,0.97413313
iubeo,0.98571336
aegre,0.98398244
permitto,0.98478454
quippe,0.97716415
sescenti,0.98142594
pugno,0.98939383
cerno,0.9924381
occasio,0.9755957
opperior,0.97777563
consido,0.9884458
amentia,0.98514897
audacia,0.9786058
credo,0.98451114
paullisper,0.9790174
quisquam,0.9879272
solitus,0.9893056
eludo,0.98865193
paucitas,0.9832052
muto,0.99523365
aliquamdiu,0.98514605
spectaculum,0.9909402
modo,0.98158175
dilabor,0.9774364
quantum,0.99222726
accelero,0.9806265
sequor,0.99184835
turma,0.9910034
effusus,0.91023004
habena,0.987514
clamor,0.9908335
pedio,0.8566216
tollo,0.9877984
improuisus,0.9773966
inuado,0.98792446
terreo,0.9936265
uinculum,0.986878
abrumpo,0.98563623
trepidatio,0.9689426
tumultus,0.98506314
facile,0.9913012
multo,0.9810655
maior,0.9869018
pro,0.98571235
numerus,0.9897245
achaeus,0.9841875
uero,0.9460655
ordino,0.96860075
praeparo,0.9678359
semisomnus,0.85447586
prope,0.9827144
adorior,0.9814149
caedes,0.9925641
passim,0.97630686
fuga,0.9894502
quoad,0.9798373
decore,0.9792743
achaeor,0.98268306
specto,0.9953678
uir,0.9806366
femina,0.99168885
redeo,0.9923086
uin,0.72996616
adfero,0.973122
noctua,0.93549657
usque,0.96834064
posterus,0.9172785
compono,0.9899109
quingenti,0.9844626
passus,0.95022595
longe,0.9893379
procedo,0.9792664
hora,0.98209584
inteno,0.9687263
utrimque,0.98363125
expecto,0.9820646
occasus,0.9930779
sol,0.99505675
confero,0.9816954
abeo,0.9609077
agmen,0.9826062
compositus,0.9809356
coepo,0.9830427
quiesco,0.9889151
conspectus,0.9272282
pridie,0.66139853
incurro,0.9678589
tantum,0.9880308
pauor,0.98371905
incutio,0.9876473
caedo,0.9914562
nemo,0.985741
restito,0.85156524
trepido,0.98740035
uix,0.9932796
seruo,0.9920758
cogo,0.98950434
tuo,0.98490024
colonia,0.975046
expugno,0.98615044
capo,0.95823914
thyatira,0.9044125
sardus,0.96133274
os,0.9853173
permaneo,0.98142374
retro,0.9368105
unde,0.97749424
prŏfectus,0.9748956
phocaea,0.88468796
bacchius,0.8785709
immineo,0.9817656
phocaeensis,0.9688468
appello,0.99225235
templum,0.98037624
egregie,0.97122675
exorno,0.9808642
diripio,0.97988844
nam,0.98713243
nos,0.9909475
