id,title,creator,date,type,file,time_interval
MQDQ-242,commonitorium,Orientius,450,poetry,lat_0450.0_MQDQ-242.txt,150
MQDQ-278,epigramma,Paulinus Baeterrensis,450,poetry,lat_0450.0_MQDQ-278.txt,150
MQDQ-285,de uita Martini,Paulinus Petricordiae,450,poetry,lat_0450.0_MQDQ-285.txt,150
MQDQ-287,uersus de orantibus,Paulinus Petricordiae,450,poetry,lat_0450.0_MQDQ-287.txt,150
MQDQ-286,de uisitatione nepotuli sui,Paulinus Petricordiae,450,poetry,lat_0450.0_MQDQ-286.txt,150
MQDQ-360,"carmen de ingratis, argumentum",Prosper Aquitanus,450,poetry,lat_0450.0_MQDQ-360.txt,150
MQDQ-363,epigrammata,Prosper Aquitanus,450,poetry,lat_0450.0_MQDQ-363.txt,150
MQDQ-364,epitaphium haereseon,Prosper Aquitanus,450,poetry,lat_0450.0_MQDQ-364.txt,150
MQDQ-361,carmen de ingratis,Prosper Aquitanus,450,poetry,lat_0450.0_MQDQ-361.txt,150
MQDQ-362,in obtrectatorem Augustini,Prosper Aquitanus,450,poetry,lat_0450.0_MQDQ-362.txt,150
MQDQ-365,*carmen de prouidentia,Prosper Aquitanus,450,poetry,lat_0450.0_MQDQ-365.txt,150
MQDQ-423,hymni,Sedulius,450,poetry,lat_0450.0_MQDQ-423.txt,150
MQDQ-422,carmen paschale,Sedulius,450,poetry,lat_0450.0_MQDQ-422.txt,150
MQDQ-564,de Iesu Christo,Victorinus,450,poetry,lat_0450.0_MQDQ-564.txt,150
MQDQ-565,de lege domini,Victorinus,450,poetry,lat_0450.0_MQDQ-565.txt,150
MQDQ-566,de natiuitate,Victorinus,450,poetry,lat_0450.0_MQDQ-566.txt,150
MQDQ-189,alethia,Marius Victor,450,poetry,lat_0450.0_MQDQ-189.txt,150
MQDQ-444,carmina,Sidonius Apollinaris,458,poetry,lat_0458_MQDQ-444.txt,150
MQDQ-445,"epistulae, uersus inserti",Sidonius Apollinaris,458,poetry,lat_0458_MQDQ-445.txt,150
MQDQ-111,"carmen epist. 2, 19 insertum",Ruricius Lemovicensis Episcopus,473,poetry,lat_0473_MQDQ-111.txt,150
MQDQ-140,hymni Christiani anonymi,hymni Christiani anonymi,500,poetry,lat_0500.0_MQDQ-140.txt,150
MQDQ-277,carminum fragmenta,Parthenius Africanus Presbyter,500,poetry,lat_0500_MQDQ-277.txt,150
MQDQ-623,carminum appendix,Alcimus Auitus,518,poetry,lat_0518_MQDQ-623.txt,150
MQDQ-622,poematum libri,Alcimus Auitus,518,poetry,lat_0518_MQDQ-622.txt,150
MQDQ-75,carmina 1,Ennodius,521,poetry,lat_0521_MQDQ-75.txt,150
MQDQ-76,carmina 2,Ennodius,521,poetry,lat_0521_MQDQ-76.txt,150
MQDQ-83,"Castitas, opusc. 6",Ennodius,521,poetry,lat_0521_MQDQ-83.txt,150
MQDQ-77,"dictiones, 12, 24, 28, uersus inserti",Ennodius,521,poetry,lat_0521_MQDQ-77.txt,150
MQDQ-78,"epistulae, 5,7-8, uersus inserti",Ennodius,521,poetry,lat_0521_MQDQ-78.txt,150
MQDQ-79,"epistulae, 7,21-29, uersus inserti",Ennodius,521,poetry,lat_0521_MQDQ-79.txt,150
MQDQ-84,"Fides, opusc. 6",Ennodius,521,poetry,lat_0521_MQDQ-84.txt,150
MQDQ-85,"Grammatica, opusc. 6",Ennodius,521,poetry,lat_0521_MQDQ-85.txt,150
MQDQ-81,"laus uersuum, opusc. 6",Ennodius,521,poetry,lat_0521_MQDQ-81.txt,150
MQDQ-80,"opuscula, 6, uersus inserti",Ennodius,521,poetry,lat_0521_MQDQ-80.txt,150
MQDQ-86,"Rhetorica, opusc. 6",Ennodius,521,poetry,lat_0521_MQDQ-86.txt,150
MQDQ-82,"Verecundia, opusc. 6",Ennodius,521,poetry,lat_0521_MQDQ-82.txt,150
IT-LAT0011,S. Benedicti Regula,Benedictus Nursianus,524,prose,lat_0524_IT-LAT0011.txt,150
MQDQ-621,uersus in subscritione codicis Hegesippi,Cyprianus Tolonensis Episcopus,525,poetry,lat_0525_MQDQ-621.txt,150
MQDQ-618,uersus de calice,Remigius Remensis Episcopus,533,poetry,lat_0533_MQDQ-618.txt,150
IT-LAT0251,Epistulae Theodoricianae variae,"Cassiodorus, Flavius Magnus Aurelius",535,prose,lat_0535_IT-LAT0251.txt,150
IT-LAT0252,Orationes,"Cassiodorus, Flavius Magnus Aurelius",535,prose,lat_0535_IT-LAT0252.txt,150
IT-LAT0250,De Anima,"Cassiodorus, Flavius Magnus Aurelius",540,prose,lat_0540_IT-LAT0250.txt,150
MQDQ-574,pro itineris et nauigii prosperitate,Gildas sapiens,540,poetry,lat_0540_MQDQ-574.txt,150
MQDQ-575,oratio,Gildas sapiens,540,poetry,lat_0540_MQDQ-575.txt,150
IT-LAT0990,"Concilium Bracarense primum octo episcoporum, habitum aera DXCIX, anno tertio Ariamiri regis, die Kalendarum Maiarum.",Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990.txt,150
IT-LAT0990_1,"Concilium Bracarense secundum duodecim episcoporum, habitum anno secundo regis Mironis, die Kalendarum Iuniarum, aera DCX.",Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_1.txt,150
IT-LAT0990_2,De correctione rusticorum,Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_2.txt,150
IT-LAT0990_3,De ira,Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_3.txt,150
IT-LAT0990_4,De Pascha,Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_4.txt,150
IT-LAT0990_5,De superbia,Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_5.txt,150
IT-LAT0990_6,De Trina Mersione,Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_6.txt,150
IT-LAT0990_7,Exhortatio humilitatis,Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_7.txt,150
IT-LAT0990_8,"Formula vitae honestae, De quattuor virtutibus",Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_8.txt,150
IT-LAT0783,Historiae,Gregorius Turonensis,550,prose,lat_0550_IT-LAT0783.txt,150
IT-LAT0791,Chronicon,Marcellinus Comes,550,prose,lat_0550_IT-LAT0791.txt,150
IT-LAT0875,Tractatus de nativitate Domini Nostri Christi,Thomas Edessenus,550,prose,lat_0550_IT-LAT0875.txt,150
