Token,Cosine Similarity
uigeo,0.99281657
sacrarium,0.9827846
taceo,0.99442446
culmen,0.9929908
rogo,0.98149
simulacrum,0.9784925
adoro,0.98337936
malo,0.9890163
leo,0.9025993
defunctus,0.97157294
lex,0.96108645
legens,0.9882161
-ne,0.9528462
fundo,0.97706443
nemo,0.9829899
pudeo,0.98941
paeniteo,0.9871395
nisi,0.9814421
plane,0.9748359
retro,0.9583311
glorior,0.9500489
interrogo,0.9914304
ultro,0.9866179
soluo,0.96912545
uasculum,0.96466655
dominor,0.9742204
aruum,0.99587935
alienus,0.9623047
iuro,0.9786824
nam,0.99399054
purus,0.985482
serenus,0.99469554
maneo,0.98914444
disputo,0.9847205
saluo,0.95640546
seu,0.9662603
rego,0.9953187
minuo,0.97747815
iustitia,0.9617213
quam,0.99237525
salus,0.98256224
auxilium,0.980512
porto,0.9902029
fio,0.9819571
aeternus,0.9775193
quisquis,0.99186814
sequor,0.99646246
tempus,0.98675674
breuis,0.99181753
postmodum,0.9621137
plango,0.98907995
imus,0.98775184
subtraho,0.9839101
uis,0.94632035
resurgo,0.9612225
christus,0.96484244
doleo,0.99315244
sic,0.9916415
hebeto,0.9703974
mundus,0.9806497
excurro,0.9771534
sors,0.9875953
auis,0.9863188
aspicio,0.9929806
alter,0.99229336
fusus,0.9818078
inspicio,0.9874709
cupio,0.9913982
audio,0.9741049
responsum,0.98576254
bonum,0.94464314
crudelis,0.98866487
dux,0.9837782
rex,0.9737326
ubi,0.98808974
consultum,0.7851236
portentum,0.9521958
scindo,0.98496157
quo,0.98842394
prosum,0.98376113
disco,0.9929065
quaeso,0.98014975
caueo,0.9784557
omnipotens,0.9812
cunctus,0.9925663
naturalis,0.95957017
habeo,0.9876089
paenitentia,0.95869243
complaceo,0.9310266
altus,0.98771346
probatio,0.92693615
daemo,0.98616815
pars,0.99116147
mandatum,0.9342245
praemitto,0.98841345
unde,0.9860308
curo,0.98945427
paruus,0.9971775
libellus,0.9842651
doceo,0.99239635
medium,0.9697069
intro,0.9600322
uenter,0.9908619
seruus,0.96589506
innocens,0.9713229
communis,0.98185813
ubique,0.97743714
paro,0.9945312
circumspicio,0.9788169
barbarus,0.9919315
sine,0.98768926
figo,0.9947217
crus,0.9893479
uerbum,0.9699994
simplex,0.9811103
simpliciter,0.93747246
impleo,0.98353505
exiguus,0.9938927
tuus,0.9607853
domus,0.96350884
prauus,0.9925496
paratus,0.96293366
epula,0.98388046
refugio,0.98412776
cena,0.97688276
praeceptum,0.9640845
quia,0.97487533
iudico,0.973101
rector,0.95150256
caelum,0.9770013
forte,0.9737922
reus,0.9632927
gaudeo,0.97902703
