Token,Cosine Similarity
stulte,0.9769566
talis,0.98876125
adoro,0.9693383
tabella,0.93886495
quaero,0.9813016
secedo,0.9639828
factum,0.94517404
hercules,0.95378304
monstrum,0.9838239
auentinus,0.86539865
mons,0.96614206
elido,0.9723722
solitus,0.97999537
armentum,0.9651917
furo,0.991074
rusticus,0.98001266
indocilis,0.9634427
laus,0.9888196
gratia,0.94164044
ago,0.98338854
absum,0.93996173
tono,0.9520489
uoueo,0.9952226
hostia,0.9735652
ineptus,0.97122675
oro,0.9747242
laeto,0.9823886
ara,0.98934424
porrigo,0.9846352
uetustus,0.9783629
mos,0.9931303
colo,0.9845572
sed,0.99263996
licet,0.98098797
fortis,0.97324276
arma,0.9939619
genesis,0.63337296
adscribo,0.9608657
primum,0.990691
sacer,0.9771085
fero,0.9912787
inter,0.99270415
uterque,0.99056673
uia,0.9718941
inmaturus,0.92899865
uagor,0.9792195
tribuo,0.9788047
cur,0.9929285
nemo,0.97947073
paeniteo,0.98466533
nisi,0.9721882
plane,0.9660051
retro,0.93647647
denoto,0.93743813
glorior,0.94687116
interrogo,0.9783724
ultro,0.98291975
uanus,0.98931134
maneo,0.9854612
fabrico,0.96651995
femina,0.98566103
nescio,0.991636
dea,0.9795941
bellonus,0.9158769
nemesis,0.884681
furina,0.68604743
caelestis,0.9816975
uenero,0.9668744
coniunx,0.9917358
uester,0.96619093
alius,0.9841611
praeterea,0.9840404
daemonium,0.86968756
procul,0.9880865
fanum,0.9694156
numero,0.98073447
collum,0.9892715
ratio,0.98262393
pestis,0.98545986
exporto,0.9440437
magis,0.9852109
terra,0.96689665
deludo,0.94901717
paucus,0.98947805
scelero,0.9787129
uates,0.98468137
inanis,0.98649174
extrico,0.7927067
uita,0.9850669
suborno,0.939299
mysterium,0.9392942
falsum,0.9675734
simulo,0.98717284
concutio,0.98821366
quidam,0.98862934
maiestas,0.9754399
cano,0.98962015
figura,0.98053646
saepe,0.9940737
fragor,0.9848434
luxurio,0.96629155
ineo,0.9675379
furia,0.9873777
fingo,0.9927752
dorsum,0.9853503
allido,0.8494516
parcus,0.98372674
doctrina,0.96754754
cerno,0.9943748
sano,0.9656651
respicio,0.9800791
cogo,0.97452813
compono,0.9847395
integer,0.9316628
ingenium,0.99144614
quoniam,0.94544154
naturalis,0.96158314
paenitentia,0.95178014
obumbro,0.94616693
populus,0.9650933
supplex,0.9914454
periturus,0.8162904
semel,0.9888871
uetustas,0.9885
procedo,0.9767022
uaticinor,0.9418994
prodo,0.9916909
autem,0.952049
nullus,0.98932374
multus,0.9904593
superstitio,0.97308105
nefandus,0.9825475
exsequor,0.96240705
cultor,0.98633015
magnus,0.98614466
aurum,0.96744317
aedis,0.96064734
quasi,0.9426593
uentum,0.9698743
ad,0.9850331
summum,0.9850878
caesar,0.9817022
fugio,0.99078715
transeo,0.9837916
ignis,0.9831947
auctor,0.9828871
scelus,0.9897942
consto,0.97912693
formo,0.98191404
tot,0.9932544
false,0.88263714
propheto,0.8320403
modo,0.98614216
soleo,0.98646134
erumpo,0.97961485
uox,0.98227704
muto,0.9938308
tamquam,0.9712499
loquor,0.9682314
auris,0.98313695
reus,0.95900935
gaudeo,0.9882543
accusatio,0.9548534
poena,0.9646299
felicitas,0.97954357
prodigium,0.93044996
perdo,0.9871205
propheta,0.9511999
obliior,0.9472889
ante,0.6513941
audacia,0.9890571
damnabilis,0.89487314
gesto,0.9880179
sigillum,0.8869431
sileo,0.9876609
ullus,0.99199474
o,0.7993953
nimium,0.99441946
uultus,0.9889542
prudens,0.9662268
dianus,0.95156986
mane,0.95943725
ebrius,0.9701688
crudus,0.9682939
pereo,0.9877687
ars,0.99661595
uiscus,0.99302304
posco,0.9888128
ciuis,0.9797209
detestabilis,0.9548829
adplico,0.94403
collegium,0.9219382
historia,0.96999925
diuino,0.9797315
libet,0.9911872
depono,0.9780909
roto,0.97881883
bifurcus,0.8269429
sacerdos,0.9655987
timeo,0.97504234
dementia,0.9825693
reuinco,0.8550105
ignoro,0.9757371
cor,0.9740488
uigeo,0.9880377
sacrarium,0.977174
titanis,0.8738466
taceo,0.9891546
culmen,0.98814285
rogo,0.98246837
aedicula,0.9186119
simulacrum,0.9741986
malo,0.98862106
lesco,0.9294201
defunctus,0.97237957
lex,0.9467236
legens,0.9831785
aeramen,0.7817024
fundo,0.97953856
soluo,0.9520112
uasculum,0.9596026
dominor,0.96178997
aruum,0.99158514
iuro,0.9582103
purus,0.98621345
serenus,0.9899308
disputo,0.9765653
saluo,0.9013447
seu,0.9591181
rego,0.98717475
minuo,0.9815563
iustitia,0.96581674
salus,0.9820384
auxilium,0.9756739
porto,0.98089266
fio,0.98812616
aeternus,0.9655896
quisquis,0.98211825
tempus,0.9864805
gaus,0.94300836
breuis,0.98391426
plango,0.98190236
imus,0.98465955
uis,0.95070255
resurgo,0.9411304
christus,0.9769186
heu,0.98739576
doleo,0.99296224
hebeto,0.9666292
mundus,0.9827933
certus,0.9781752
aliter,0.95994604
tracto,0.9889435
noceo,0.988182
noxa,0.9609
tractatio,0.8430818
interveneo,0.93507844
excurro,0.9581592
sors,0.9849057
auis,0.9864112
balantum,0.95143175
fudo,0.9714738
inspicio,0.9811402
cupio,0.99537003
audio,0.97291476
responsum,0.98022866
bonum,0.9398478
crudelis,0.98997116
dux,0.9832135
ubi,0.9872793
consultum,0.8544133
portentum,0.95931673
scindo,0.9751918
quo,0.98905516
prosum,0.98344296
disco,0.99063617
quaeso,0.9458334
caueo,0.96301305
omnipotens,0.98479664
cunctus,0.9900509
complaceo,0.8987901
altus,0.9816172
probatio,0.9435803
daemon,0.97878695
pars,0.99214447
mandatum,0.90750265
praemitto,0.9709765
paruus,0.99084806
libellus,0.9656381
doceo,0.9867055
medius,0.98199415
intro,0.97082245
condisco,0.93337196
seruus,0.93232787
innocens,0.9685481
communis,0.9842751
ubique,0.98138213
paro,0.9920985
uus,0.96983105
circumspicio,0.96939933
barbarus,0.98858106
sine,0.98647344
figo,0.9935316
ascius,0.71997845
crus,0.986249
uerbum,0.96823645
simplex,0.9835398
simpliciter,0.96286756
quicumque,0.9522754
alium,0.9901758
proprius,0.9905981
mercennarius,0.9426261
aduocatio,0.91263753
utor,0.98474157
innocentia,0.9736619
commendatio,0.8723259
respondo,0.9235566
altercor,0.9319031
facultas,0.95279205
pateo,0.98827887
indefensus,0.916847
inauditus,0.9578831
omnino,0.98690605
impleo,0.97823167
exiguus,0.9926243
tuus,0.9589211
domus,0.9656041
prauus,0.98159814
epula,0.9803487
refugio,0.98209816
cena,0.9750386
praeceptum,0.9652556
quia,0.9697673
iudico,0.93608123
rector,0.94220835
caelum,0.9766704
prouidus,0.9867687
profanus,0.986959
aspectus,0.98261577
tyrannus,0.99173486
sentio,0.9922031
faio,0.97924954
cuias,0.799206
dubius,0.9851312
uiuendus,0.8367037
careo,0.9916391
nudo,0.9889431
luxus,0.98508215
prospicio,0.9825382
iniquus,0.9680075
quidquid,0.9871223
istinc,0.9501145
ecce,0.9438019
egeo,0.98974025
algeo,0.9631933
opus,0.97665346
fames,0.98602176
laboro,0.98156095
patior,0.9761529
dissimulo,0.97838163
opitulor,0.90150654
inualidus,0.9726528
sol,0.99183625
nihil,0.9942959
permitto,0.97890854
causa,0.9697255
purgo,0.97740394
ueritas,0.9599148
iniustus,0.978123
solus,0.99157834
expecto,0.9635087
odium,0.9769196
publicus,0.9745472
necessarius,0.98480415
confessio,0.96825296
nomen,0.9759892
examinatio,0.9443877
crimen,0.9752651
aliquis,0.9893034
cognosco,0.96537805
statim,0.9824954
homicida,0.97963876
sacrilegus,0.984148
incestus,0.98475033
hostis,0.9850036
elogium,0.9570444
contineo,0.98603
pronuntio,0.9774173
consequentia,0.9200128
exigo,0.9775517
qualitas,0.9577148
numerus,0.9866977
locus,0.98134094
conscius,0.982023
socius,0.98633766
excelsus,0.9524544
benignus,0.9867816
facies,0.9259461
remitto,0.98306143
mergo,0.98832875
tenebra,0.98243684
lux,0.9900404
bifarius,0.94361895
misericors,0.9118715
denego,0.9495213
exeo,0.9668726
foris,0.9766065
requiro,0.98662543
reuenio,0.86063147
ibi,0.98057497
malignus,0.9792478
funus,0.9909514
recte,0.9750056
mox,0.99051917
