Lemma,APD
digne,0.5401653
pedo,0.5400859
nonus,0.54006636
doctus,0.5400533
praedicatio,0.54000723
uerus,0.54000455
confundo,0.5397636
cito,0.5397458
gratus,0.5397406
curo,0.5397265
grandis,0.5397235
prodigo,0.53970295
antiquus,0.53962797
aucto,0.539525
concipio,0.53950703
cedo,0.5395035
au,0.53947186
mitto,0.53946525
laudo,0.53945667
accurate,0.53945047
liqueo,0.53932464
aeternus,0.53931385
scribo,0.53919286
recipio,0.5391105
recens,0.53905517
pie,0.53894943
mortalis,0.5386806
reor,0.5385785
pure,0.53854406
uterus,0.53848255
petra,0.5383598
curro,0.5382934
conditio,0.53820276
numquis,0.5381914
teneo,0.5381556
saeculum,0.5380893
inanis,0.538033
nudus,0.537975
tango,0.5378769
sectio,0.53785294
subdo,0.53761995
pauper,0.5375622
exigo,0.537499
parum,0.53749794
praesens,0.5374466
longus,0.537435
compositum,0.5374169
pius,0.5373756
suppono,0.5372577
impendo,0.53725505
obiectum,0.53723043
leo,0.53722596
surgo,0.5369296
io,0.5369065
apte,0.53688407
praeses,0.5367702
sedeo,0.5365282
beatus,0.53649783
alo,0.5364113
lar,0.5362549
confessio,0.53615725
contingo,0.53591394
recito,0.5359118
competo,0.5358831
subiectum,0.5358347
facilis,0.53574175
fenum,0.5355874
sumo,0.5355711
secretus,0.5354909
amo,0.5354328
respondeo,0.5354081
pontificatus,0.53526
magnifico,0.53515625
extremus,0.5350532
solitus,0.5350449
ineo,0.5350086
stultus,0.53499264
paratus,0.53483313
am,0.53480345
internus,0.534802
mos,0.53479624
mortuus,0.53476596
aueo,0.53474957
pignus,0.53464293
contineo,0.5346407
iudico,0.53461057
praefor,0.53459036
uro,0.5345471
index,0.5345193
carbo,0.5345178
simplex,0.53446484
mutuus,0.5344453
procedo,0.5344397
exaudio,0.5343108
mali,0.53426737
sapio,0.5342669
repeto,0.5341672
efficio,0.5341652
audeo,0.5341439
misceo,0.534027
taxo,0.53399616
consono,0.53391933
patiens,0.53391194
luo,0.53390366
proximus,0.53385377
lectio,0.5338221
pes,0.53376055
cogitatio,0.5337372
pereo,0.53364193
propior,0.53346574
reperio,0.533428
emo,0.53340846
pandus,0.5333304
doctor,0.5333194
tactus,0.53322136
summe,0.53295636
intendo,0.5328408
expono,0.5328284
lucrum,0.5327458
nuncupo,0.5326463
ornatus,0.5325957
instituo,0.532552
domi,0.532524
dispensatio,0.5324866
orno,0.53244156
infinitus,0.53239614
for,0.5323312
decerno,0.5323277
aes,0.5323141
comedo,0.53229225
considero,0.53223765
digno,0.53223515
puta,0.53221333
continuus,0.53212154
asper,0.53193194
dimitto,0.5318777
calo,0.5318451
substantia,0.531753
comparo,0.5316062
censura,0.5315279
tribuo,0.5314966
confiteor,0.53145164
apertus,0.5312857
pareo,0.53120404
dispenso,0.5311644
tutus,0.53116417
imperfectus,0.5310984
um,0.5310954
experior,0.53099597
nego,0.5309923
consulatus,0.5309736
discipulus,0.5309271
trado,0.5309199
conficio,0.5309016
latro,0.5308885
peto,0.530879
taceo,0.5308228
uae,0.53077996
principium,0.5305743
corrumpo,0.5304711
codex,0.5304417
reditus,0.5304402
eus,0.5303732
septimus,0.53023726
ignotus,0.5302326
ambulo,0.5301382
humilio,0.5300608
sequor,0.53005683
infernus,0.53003746
nobilis,0.5299649
dexter,0.529907
laboro,0.5298629
relinquo,0.5298412
infero,0.52980757
gaudeo,0.5297987
infirmus,0.52977264
aspectus,0.5297077
prudens,0.5295457
tenuis,0.5295185
impleo,0.5294927
eloquor,0.5294871
consulo,0.5294276
dubito,0.52937627
deficio,0.5292887
inclinatio,0.52927977
aufero,0.5291497
tabula,0.52913445
larus,0.52912
erro,0.5291058
memini,0.5290683
amplus,0.5290418
tracto,0.5289991
subicio,0.52896583
distinguo,0.5289495
albus,0.5288044
minimum,0.52878076
repo,0.52877414
condio,0.5287214
bellus,0.5285773
pretiosus,0.52855784
singularis,0.5285343
intro,0.5284407
nosco,0.52837765
iuste,0.52824384
remoueo,0.52820855
tus,0.52812177
pactum,0.52812034
dependeo,0.528084
intellego,0.5279722
sors,0.52791333
quartus,0.52788585
securus,0.52785695
incertus,0.5278322
dissimilis,0.5277204
egressus,0.52764547
dirigo,0.5276268
desideo,0.52756697
separo,0.52756494
custodio,0.5275584
raptus,0.5275463
canticum,0.52754295
prior,0.52751195
minimus,0.5274712
perfectus,0.52746475
salutaris,0.52736586
gratia,0.5273572
commemoro,0.5272292
inscribo,0.5271895
colo,0.5271674
puto,0.5271133
exinde,0.526999
cogito,0.52690613
reputo,0.526883
geno,0.52674276
xui,0.52669716
aro,0.526654
excuso,0.5266238
contero,0.5265125
praesumo,0.52643484
dignor,0.52642375
potior,0.5264112
natalis,0.52634716
neuter,0.5263194
nequeo,0.52627474
excludo,0.5262353
ultere,0.5262198
supero,0.5261134
opinio,0.5260726
exerceo,0.5260489
mendax,0.52598935
actus,0.52598536
medius,0.52597517
pella,0.5259336
clamo,0.52582043
ardeo,0.525672
induo,0.5256119
genero,0.52556777
subtiliter,0.52549964
assum,0.5254925
ultimus,0.5254634
coniueo,0.5253717
tuto,0.52534074
duplex,0.525225
contendo,0.5252139
occulo,0.52520204
prohibeo,0.52515036
immundus,0.5251499
placeo,0.52495545
adicio,0.52489907
consulto,0.524899
limo,0.5248908
consequor,0.52485126
communico,0.5248436
obtineo,0.5247904
ops,0.5247572
manifestus,0.52468497
quadro,0.52461207
paucus,0.5245781
mirus,0.52451926
affectus,0.5245063
pulchre,0.52444655
fragmentum,0.5244405
queo,0.5242585
uello,0.52419317
educo,0.5240718
consentio,0.52406514
contemplatio,0.52387273
magnitudo,0.5238645
commendo,0.5237992
frigidus,0.523648
portio,0.5235756
spero,0.5234739
arbitro,0.5234402
fugio,0.5233948
firme,0.5233073
professio,0.52325493
proficio,0.5232106
sufficio,0.5231963
complector,0.52317107
compositio,0.52314144
impedio,0.5230724
similis,0.52305984
necto,0.5230277
praecipuus,0.5229612
natus,0.5229405
sentio,0.5228519
macer,0.5228436
manus,0.52281773
perpetuo,0.5227789
consisto,0.5226466
cor,0.5226228
fateor,0.5225051
expecto,0.52243626
nascor,0.5224259
muto,0.52233815
septimius,0.5222699
unguo,0.52221495
sollicitudo,0.5221769
perpetuus,0.5220957
opus,0.5219356
appeto,0.52191544
occultus,0.5219135
pendeo,0.5216552
affero,0.5215695
instrumentum,0.5215443
acer,0.5215096
lis,0.52148616
impedimentum,0.521468
maneo,0.5214447
noto,0.52137953
tenebra,0.5213527
rufus,0.52132785
robur,0.5212534
almus,0.5211818
responsio,0.52116454
obeo,0.5211299
utilis,0.5211011
transfero,0.52107805
pello,0.52102
durus,0.52090997
quousque,0.5208315
crudelis,0.520788
opportunus,0.5207816
miseratio,0.5207214
cupio,0.5206996
os,0.5206843
causo,0.5206651
contemno,0.5205928
rodo,0.52055883
nox,0.52050596
frons,0.520505
rea,0.5204771
nutus,0.520421
primus,0.52039933
abunde,0.52035767
demo,0.5203462
sacer,0.5203146
exsisto,0.5203066
porto,0.5203026
disto,0.52018
fundo,0.52015656
itidem,0.5201001
collegium,0.5200696
foedero,0.52004135
ambitus,0.52001226
census,0.5199585
hilarus,0.51995736
adduco,0.51994103
maledico,0.5198036
tis,0.51978177
obicio,0.51969004
uber,0.5194926
necdum,0.51942503
emitto,0.5193085
deterior,0.51929706
uolo,0.5192658
timeo,0.5192076
pungo,0.51912344
mercor,0.519123
traho,0.51907027
mactus,0.5190399
dominor,0.518983
niger,0.51896054
socius,0.5189461
summus,0.51886886
audax,0.5188405
artifex,0.518757
praefero,0.5187499
sapienter,0.51869375
percipio,0.51862574
prodo,0.5185367
demonstro,0.5185231
agricola,0.5184928
auro,0.5184895
documentum,0.51848644
absolutus,0.51847714
amplius,0.5184758
informo,0.51845115
opprobrium,0.5184014
tenor,0.51835454
secus,0.51830614
merus,0.5182805
quandoque,0.5182694
asso,0.5182621
admitto,0.5182344
ordinatio,0.5182329
simpliciter,0.5182306
cera,0.51819044
mus,0.5181179
formido,0.5180332
accedo,0.51800525
cognitio,0.51796573
insignis,0.5179537
ostendo,0.51793605
ian,0.51790893
defungor,0.517868
acus,0.517819
trago,0.51773524
egregius,0.5177207
altus,0.51769346
incido,0.51766086
rescribo,0.517639
uere,0.51761
plebs,0.5176027
pecco,0.51756155
insero,0.5175603
agnosco,0.5174822
molo,0.51743674
effectus,0.5174302
subiectus,0.5173082
actio,0.51730394
contentio,0.5173037
simplicitas,0.5172922
rum,0.5172873
exeo,0.5172767
ascendo,0.5172738
desertus,0.5171761
offendo,0.51715845
par,0.51711136
titulus,0.51708835
animo,0.5170192
reliquia,0.5169726
saluto,0.51694584
nomino,0.5169422
situs,0.5169089
impugno,0.51690775
contemplo,0.5168709
multiplico,0.5168536
desum,0.5168043
fortitudo,0.5167251
negotium,0.5167
mitis,0.5166725
tormentum,0.5166545
delicia,0.51661754
existo,0.51658756
longe,0.5165673
damnum,0.51647556
anus,0.5164343
tueor,0.5164338
extendo,0.5163802
remus,0.5163667
terribilis,0.51636213
sumptus,0.5163166
desidero,0.51628625
obsequium,0.51625687
palpo,0.51624775
porro,0.5161954
tarde,0.51609874
debeo,0.5160887
probabiliter,0.51601696
soleo,0.51595455
constitutio,0.5159241
libero,0.51592314
delecto,0.5159194
ludo,0.5158383
mirabilis,0.51581025
postulo,0.51574004
disco,0.5157065
solus,0.5156318
inimicus,0.5156105
disparo,0.5156068
punctus,0.51560044
creber,0.5155937
religiosus,0.51558965
supremus,0.5155354
minuo,0.5155268
comitatus,0.51552176
moneo,0.5155165
suadeo,0.51550925
basilica,0.51547736
contrarius,0.51545787
pudeo,0.51545674
meritum,0.51543564
tutor,0.51534915
areo,0.5153142
furor,0.5151751
sponsa,0.51517344
miror,0.5150411
transeo,0.51501596
interpretor,0.51500154
postumus,0.51485455
sollicitus,0.5148183
purgo,0.5147745
cano,0.51473993
odi,0.5147324
corrigo,0.5146994
circulus,0.5146623
falsus,0.5146581
indignus,0.51465696
xu,0.51456994
praeclarus,0.51450443
resurgo,0.51447684
luceo,0.51447535
lectus,0.51436657
dolus,0.51432914
pugno,0.51431185
dumtaxat,0.514286
obitus,0.51428175
rapio,0.5142752
discutio,0.5141414
liberto,0.5140944
zoilus,0.51407325
metior,0.5140686
obscurus,0.5140535
rusticus,0.51400805
mandatum,0.51400477
formo,0.5139695
caueo,0.51396036
concludo,0.51395696
parco,0.51384497
dispositio,0.51379806
materia,0.5137656
ico,0.51369524
adhibeo,0.5136397
finis,0.51363426
bonitas,0.5136261
senex,0.51351833
inanio,0.51350105
appello,0.51347685
anima,0.5134687
spiritus,0.5134132
sustineo,0.5133955
subtraho,0.5133628
figulus,0.51334256
relatio,0.51325375
cresco,0.5132437
immuto,0.51322293
candidus,0.51320124
aequum,0.51319796
frequens,0.51313555
canto,0.513132
descendo,0.5130567
expeto,0.5129689
opto,0.512962
laus,0.51294607
ignoro,0.51293355
inficio,0.5129326
commentor,0.5128949
caelestis,0.5127544
poto,0.5126547
legitimus,0.5126313
probabilis,0.5126196
augeo,0.5126176
explico,0.51257855
comes,0.5125632
detero,0.5125341
damno,0.51252484
detraho,0.5124981
nihilominus,0.51249075
destruo,0.512411
experientia,0.51235944
ratus,0.51234555
castrum,0.5122965
insuper,0.5122875
intentio,0.51222295
rectus,0.51216906
actum,0.51214874
interpono,0.5121322
alienus,0.5121132
nepos,0.51198053
lux,0.51187205
certo,0.51174515
conduco,0.5117352
appellatio,0.5117315
abeo,0.511713
aliquatenus,0.51171094
rudis,0.51167214
computo,0.51164514
unus,0.5116223
infelix,0.5116171
petitio,0.5115397
tendo,0.511509
dignus,0.51147074
sinistra,0.5114536
conculco,0.51142156
succedo,0.51136875
aedes,0.5113308
publico,0.51132894
altitudo,0.5112375
mens,0.5112234
dominium,0.51120704
contentus,0.51118827
termino,0.51118755
stabilio,0.5111582
promoueo,0.5111089
opera,0.5110161
occido,0.5110053
fraus,0.5110025
distinctio,0.5109892
generalis,0.5109798
prodeo,0.510967
celebro,0.5109606
careo,0.5109451
claudo,0.5109404
tego,0.51092
retro,0.5108233
promptus,0.5108229
honor,0.51079893
praepono,0.5106975
auus,0.5106826
precor,0.51067674
prosequor,0.51065886
mora,0.5106512
oratio,0.51061124
tempero,0.51057816
terrestris,0.51048046
digitus,0.5104777
terra,0.510463
fleo,0.5104447
ferio,0.5103958
externus,0.5103825
premo,0.5103233
nobilitas,0.51031464
familiaris,0.51027507
infirmo,0.51024926
uer,0.5102366
profiteor,0.510219
bibo,0.510217
figo,0.51019454
mutus,0.5101658
monumentum,0.5101585
fallo,0.5101208
impie,0.51008946
attribuo,0.5100414
gloriosus,0.51000345
crebro,0.5099498
coniungo,0.5099223
saturo,0.5098966
doleo,0.5098461
massa,0.50984585
praeceps,0.5097892
gens,0.5097166
dispono,0.5096894
facultas,0.509689
abscondo,0.5096438
irascor,0.50955504
tertius,0.50955063
ito,0.50950056
caritas,0.5094821
repugno,0.5094218
gratis,0.50924414
desiderium,0.5092001
noceo,0.5091807
collatio,0.50917304
floreo,0.509018
contemptus,0.5090033
percutio,0.5088805
accuro,0.5088122
circuitus,0.50877035
postremus,0.5087645
declino,0.5087567
inquiro,0.50872225
sacratus,0.50868076
adsum,0.5086482
ungo,0.5086445
omen,0.5086403
resido,0.50863576
aequo,0.50853276
infidelis,0.5084847
desino,0.508459
mutatio,0.5084315
familia,0.5084269
utiliter,0.50842136
pastor,0.50840986
herus,0.50840163
fundamentum,0.5083523
depono,0.5083514
appono,0.50832754
erudio,0.5082742
narro,0.5082311
fortuna,0.5082167
perfectio,0.50821304
praesentia,0.5081934
medicus,0.50815684
torreo,0.50813377
gubernatio,0.5081203
forsan,0.5080582
locus,0.50801927
amitto,0.5079822
permuto,0.50796604
requiro,0.50794613
spondeo,0.5079302
digero,0.5078895
amans,0.5078132
utor,0.5077527
sol,0.5077453
fluxus,0.5077423
perfero,0.50765365
taurus,0.5076398
meto,0.5076141
