Token,Cosine Similarity
pars,0.9905832
propensus,0.95095974
incumbo,0.9864561
ne,0.99135655
tam,0.98759
nascor,0.99349296
sententia,0.9735246
profero,0.9930488
proinde,0.96848917
quasi,0.9587659
nouus,0.9921801
aliqui,0.97920173
ignarus,0.9848523
consido,0.98639935
nullus,0.98945665
patefacio,0.9881165
humanus,0.98405933
dubius,0.9914639
incertus,0.9912011
suspendo,0.994701
que,0.99182665
uerisimilis,0.94342554
mirus,0.9918862
nonnullus,0.99422663
taedium,0.97764593
penitus,0.9709506
quilibet,0.9610859
opinio,0.9742793
temere,0.97863036
succumbo,0.98465186
exploro,0.99057615
pertinax,0.9697584
diligentia,0.9814141
indignor,0.98595345
indolesco,0.8203826
audeo,0.9900902
quidam,0.9891236
studium,0.9922187
rudis,0.9889359
littera,0.9796543
profanus,0.98913133
expers,0.977332
ars,0.9946146
sordidus,0.97925484
certus,0.9764072
aliquis,0.9853039
summus,0.9859933
maiestas,0.9855634
decerno,0.98252827
tot,0.99139327
saeculum,0.9362656
seco,0.99174917
plurimus,0.9921559
usque,0.96469
philosophia,0.9678284
delibero,0.9858676
nec,0.99261224
absum,0.9812137
ab,0.9487206
exploratio,0.7737644
diuinus,0.9919292
mediocritas,0.96820813
supra,0.9876346
caelum,0.97766495
tollo,0.9912231
infra,0.9560311
terra,0.9706402
demergo,0.983391
scio,0.95509773
religiosus,0.9875191
beatus,0.96048295
satis,0.98950803
prudens,0.96652204
ius,0.9612193
secundum,0.9660399
uetus,0.98489726
sapio,0.98876727
oraculum,0.98059124
nosmet,0.9555525
familiarior,0.86027145
nosco,0.99226445
quatenus,0.96025246
indulgeo,0.9883171
insanus,0.9891563
ineptus,0.98082185
labor,0.9942626
ultra,0.94333124
humilitas,0.9531317
terminus,0.9622576
euagor,0.97014445
proiicio,0.94076276
sidus,0.9964853
audax,0.9905782
cupiditas,0.9712306
transcendo,0.9865538
salto,0.99199176
uanus,0.9933356
formidulosus,0.8914598
implico,0.98386264
principium,0.9692961
semen,0.91916555
natura,0.98812014
sui,0.99243486
denso,0.9878431
auctor,0.9825753
deus,0.98058105
fortuitus,0.96783656
concursio,0.86511695
mundus,0.9810357
coalesco,0.9819871
digero,0.99382186
formo,0.98624444
machinator,0.8154974
licet,0.9799168
ignis,0.9851881
materia,0.97206473
pondus,0.9932636
liquor,0.98757935
unde,0.9862566
formido,0.9924686
superstitio,0.9862825
animal,0.98922056
inspiro,0.98011845
attollo,0.98918825
elementum,0.9843268
uoluntarius,0.9797988
concretio,0.90963364
rursus,0.9932654
soluo,0.9683794
dissipo,0.98241615
fons,0.9869864
refluo,0.9851904
reuoluo,0.9951809
artifex,0.981464
congrego,0.9717206
alius,0.9857139
splendeo,0.9890617
exhalo,0.9824085
uapor,0.9922595
nebula,0.9814625
adolesco,0.9819329
cogo,0.9905493
nubes,0.98240894
alte,0.9841471
surgo,0.97461116
pluuia,0.9807863
fluo,0.99532884
flo,0.98441076
uentus,0.99467134
grando,0.97504455
increpo,0.9899607
nimbus,0.9924607
conlido,0.9387896
tonitruum,0.9284743
mugio,0.9690126
rutilo,0.9893353
fulgor,0.9886677
fulmen,0.9919742
praemico,0.82138985
adeo,0.97724783
passum,0.9790159
cado,0.9876237
mons,0.9621496
inruo,0.9707831
arbor,0.9875607
incurro,0.98670363
sine,0.9876723
dilectus,0.897728
tango,0.9908051
locus,0.98522335
sacer,0.9805396
noxius,0.99009264
ferio,0.9958675
saepe,0.995099
tempestas,0.9868843
loquor,0.97223914
exame,0.97491485
impetus,0.983361
uoluto,0.9820402
naufragium,0.98267484
malus,0.985454
fatum,0.99366665
mixtus,0.9864276
mereo,0.99145716
confundo,0.9759359
incendium,0.9871048
intereo,0.99117726
conuenio,0.9782618
insons,0.9907849
nocentus,0.89399564
tabes,0.980744
pestifer,0.97153115
tractus,0.9739506
inficio,0.98849106
discrimen,0.98425996
depereo,0.97918504
bellum,0.9909209
ardor,0.9880799
saevior,0.71337193
melior,0.9888089
potior,0.9885978
occumbo,0.9790977
pax,0.97644603
aequo,0.98600066
nequitia,0.97902274
colo,0.98147
plus,0.98944426
uter,0.98502105
detestor,0.98709345
prauitas,0.96950245
an,0.98594815
opto,0.99732536
felicitas,0.9780934
prouidentia,0.9854405
numen,0.9926083
auctoritas,0.971339
rego,0.9952133
numquam,0.9919688
phalaris,0.89434904
dionysius,0.8941562
regnum,0.9840112
rutilius,0.926542
camillus,0.94931984
exilium,0.97324777
socrates,0.97649467
uenenum,0.9905508
ecce,0.94953966
arbustum,0.90249246
frugifer,0.9590569
seges,0.99198484
canus,0.98793757
temulentus,0.95859635
imber,0.9914804
corrumpo,0.99000454
caedo,0.99519455
occulto,0.9708898
uarius,0.9956563
lubricus,0.9877957
casus,0.9700503
solutus,0.9800454
lex,0.96074
fortuna,0.98969257
dominor,0.97550493
antistes,0.9856116
maius,0.88798374
disciplina,0.9792751
trado,0.9894923
parens,0.98400986
ante,0.7896515
inbuo,0.9682951
timeo,0.9798044
adoro,0.9831087
fero,0.9941614
prior,0.9899993
natalis,0.96445096
facilis,0.99343807
habeo,0.9875541
rex,0.97394663
inde,0.9888687
imperium,0.9948349
prouincia,0.9750339
oppidum,0.98511094
singulus,0.99192387
sacrum,0.9806291
ritus,0.9872185
gentilis,0.9712403
municeps,0.95421654
ceres,0.97957796
phryga,0.9239706
mater,0.9875809
aesculapium,0.8445943
chaldaeus,0.97695184
belus,0.88311595
syrus,0.9594187
diana,0.9705751
