id,title,creator,date_avg,date_range_start,date_range_end,type,file
MQDQ-366,praefationes,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-366.txt
MQDQ-372,contra Symmachum,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0376_MQDQ-372.txt
IT-LAT0270,Psychomachia,"Prudentius, Aurelius Clemens",400,395,405,poetry,lat_0400_IT-LAT0270.txt
MQDQ-284,oratio,Paulinus Pellaeus,403,399,407,poetry,lat_0418_MQDQ-284.txt
MQDQ-280,carminum appendix,Paulinus Nolanus,395,383,408,poetry,lat_0392_MQDQ-280.txt
MQDQ-279,carmina,Paulinus Nolanus,395,383,408,poetry,lat_0392_MQDQ-279.txt
MQDQ-192,de medicamentis,Marcellus,408,408,408,poetry,lat_0350.0_MQDQ-192.txt
IT-LAT0001,Vulgata,Hieronymus,382,382,410,prose,lat_0382_IT-LAT0001.txt
MQDQ-278,epigramma,Paulinus Baeterrensis,405,400,410,poetry,lat_0450.0_MQDQ-278.txt
MQDQ-365,*carmen de prouidentia,Pseudo-Prosper,416,416,416,poetry,lat_0450.0_MQDQ-365.txt
MQDQ-418,fragmenta duo,Rutilius Namatianus,417,417,417,poetry,lat_0450.0_MQDQ-418.txt
MQDQ-417,de reditu suo,Rutilius Namatianus,417,417,417,poetry,lat_0450.0_MQDQ-417.txt
IT-LAT0880,Epistulae,Hieronymus,397,374,420,prose,lat_0400_IT-LAT0880.txt
MQDQ-87,epigrammata Bobiensia,epigrammata Bobiensia,400,375,425,poetry,lat_0300.0_MQDQ-87.txt
IT-LAT0353,Epistula ad Theodosium,"Avianus, Flavius",400,375,425,prose,lat_0350_IT-LAT0353.txt
MQDQ-562,fabulae,Auianus,400,375,425,poetry,lat_0450.0_MQDQ-562.txt
IT-LAT0333,De centum metris,"Servius, Marius Honoratus",412,400,425,prose,lat_0450_IT-LAT0333.txt
IT-LAT0334,De metris Horatii,"Servius, Marius Honoratus",412,400,425,prose,lat_0450_IT-LAT0334.txt
IT-LAT0336,Explanatio in artem Donati,"Servius, Marius Honoratus",412,400,425,prose,lat_0450_IT-LAT0336.txt
MQDQ-630,e Parmenide conuersa,Caelius Aurelianus,412,400,425,poetry,lat_0450.0_MQDQ-630.txt
MQDQ-52,deuteronomium,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-52.txt
