Word,Frequency_t_reference-last,Frequency_t0,"Cosine_similarity(w_t_reference-last,w_t0)",interval-0,neighbours_t0,Frequency_t1,"Cosine_similarity(w_t_reference-last,w_t1)",interval-1,neighbours_t1
indiuiduus,43,40,0.2126311,0,"[('atomus', 0.6097476482391357), ('processus', 0.556471586227417), ('oblique', 0.5549750924110413), ('cuneo', 0.5538186430931091), ('reuolo', 0.5473105907440186), ('renitor', 0.5456458330154419), ('conexum', 0.5436697006225586), ('uirgula', 0.5430917143821716), ('diuiduus', 0.5420845150947571), ('concreo', 0.5412211418151855)]",43,1.0,1,"[('differentia', 0.756189227104187), ('inrationalis', 0.7051565647125244), ('rationalis', 0.7011669278144836), ('Socrates', 0.6331132054328918), ('definitio', 0.6318702101707458), ('syllogismus', 0.6305533051490784), ('physicus', 0.6276400089263916), ('proprie', 0.6199055314064026), ('communiter', 0.6135364174842834), ('enuntiatio', 0.604154109954834)]"
tenendus,43,40,0.32273751,0,"[('conlocatus', 0.6208818554878235), ('cludo', 0.6102423071861267), ('argutus', 0.585103452205658), ('examino', 0.5764757990837097), ('dirigo', 0.5727167725563049), ('corporeus', 0.5713609457015991), ('adstrico', 0.5710152983665466), ('suspendo', 0.5649504065513611), ('conformo', 0.5621528625488281), ('imprimo', 0.560854434967041)]",43,1.0,1,"[('incorruptus', 0.6316747069358826), ('addico', 0.6273453831672668), ('destitutus', 0.6214538216590881), ('conseruo', 0.6054363250732422), ('adhibendus', 0.5929957032203674), ('sepono', 0.5915968418121338), ('abnego', 0.5913302898406982), ('intemeratus', 0.591102659702301), ('efflagito', 0.5829038619995117), ('secretum', 0.5775136351585388)]"
croceus,43,40,0.87030923,0,"[('puniceus', 0.8680433034896851), ('odoratus', 0.863029420375824), ('purpureus', 0.8625925779342651), ('concolor', 0.8611127734184265), ('rubeo', 0.8511557579040527), ('floridus', 0.8484543561935425), ('pampineus', 0.8482820987701416), ('madidus', 0.8429012894630432), ('liueo', 0.8408092856407166), ('hedera', 0.8394284248352051)]",43,1.0,1,"[('puniceus', 0.9027891159057617), ('albeo', 0.9013710021972656), ('pampinus', 0.8986206650733948), ('uirido', 0.890070915222168), ('flauus', 0.8760404586791992), ('herbidus', 0.8747554421424866), ('crocus', 0.8742614388465881), ('rutilus', 0.8686286807060242), ('aenus', 0.8641501665115356), ('rubeo', 0.8636233806610107)]"
albeo,43,40,0.8122931,0,"[('flaueo', 0.8708940744400024), ('frondeo', 0.8445476293563843), ('roro', 0.8409785628318787), ('redimio', 0.8372318744659424), ('roscidus', 0.833091139793396), ('hirtus', 0.8294785618782043), ('puniceus', 0.8233571648597717), ('uireo', 0.8217331767082214), ('umbro', 0.821672260761261), ('concolor', 0.8216080665588379)]",43,1.0,1,"[('croceus', 0.9013710021972656), ('pampinus', 0.8940880298614502), ('puniceus', 0.8846620917320251), ('caeruleus', 0.8772404193878174), ('roscidus', 0.8730626106262207), ('cauus', 0.8680633902549744), ('nigro', 0.8662485480308533), ('culmus', 0.8653649687767029), ('uirido', 0.8650286197662354), ('umeo', 0.8626746535301208)]"
tonsa,43,40,0.7420349,0,"[('puniceus', 0.8580779433250427), ('pampineus', 0.8227863907814026), ('madidus', 0.8205432891845703), ('aduncus', 0.8176506757736206), ('plumo', 0.8175642490386963), ('lapillus', 0.811076819896698), ('pecten', 0.8058224320411682), ('culmus', 0.7980763912200928), ('luteus', 0.7979775667190552), ('licium', 0.7938441634178162)]",43,1.0,1,"[('hirtus', 0.8099623918533325), ('concolor', 0.7899951934814453), ('taurinus', 0.7855806946754456), ('flaueo', 0.783171534538269), ('roro', 0.7817894816398621), ('flauesco', 0.7716356515884399), ('detondeo', 0.7708252668380737), ('eburnus', 0.7697620391845703), ('flauus', 0.769250214099884), ('hysopum', 0.7663713693618774)]"
adytum,43,40,0.6455772,0,"[('fatidicus', 0.7142212390899658), ('arcanus', 0.7098240256309509), ('Faunus', 0.7000377774238586), ('Paean', 0.6896892189979553), ('Sibylla', 0.682599663734436), ('penetralis', 0.6821709871292114), ('oraculum', 0.6807085275650024), ('Erebius', 0.6759889721870422), ('altarium', 0.6658352613449097), ('dea', 0.6640349626541138)]",43,1.0,1,"[('sacrarium', 0.6623591184616089), ('fanum', 0.6308456063270569), ('delubrum', 0.6109513640403748), ('augusta', 0.6014528274536133), ('puluinar', 0.5920306444168091), ('lucus', 0.5895125865936279), ('Palatinus', 0.5889161825180054), ('Sibyllinus', 0.5857940912246704), ('tholus', 0.5773025751113892), ('aedes', 0.5761252045631409)]"
inminens,43,40,0.55117744,0,"[('desperatus', 0.6076125502586365), ('interimo', 0.5930250883102417), ('captiuitas', 0.5639007687568665), ('Ille', 0.5615779161453247), ('impendeo', 0.5570845603942871), ('euersio', 0.5467571020126343), ('conscio', 0.5436123013496399), ('interempio', 0.5399934649467468), ('subruo', 0.5377157330513), ('subeundus', 0.5370759963989258)]",43,1.0,1,"[('oppeto', 0.7298631072044373), ('intento', 0.6970691084861755), ('impingo', 0.6863732933998108), ('incursus', 0.6843838095664978), ('minitor', 0.6831912398338318), ('grassor', 0.6830479502677917), ('inmineo', 0.6817790865898132), ('repentinus', 0.668833315372467), ('percello', 0.6668058037757874), ('atrox', 0.6614301800727844)]"
ren,43,40,0.69277996,0,"[('gingiua', 0.8234724998474121), ('uentriculus', 0.8155142664909363), ('pulmo', 0.7864830493927002), ('tuber', 0.7713723182678223), ('cucumis', 0.7624130845069885), ('sinapio', 0.7550718784332275), ('arteria', 0.751224935054779), ('uulua', 0.7501399517059326), ('gibbus', 0.750076949596405), ('deiectio', 0.7498452663421631)]",43,1.0,1,"[('intrinsecus', 0.801203727722168), ('umbilicus', 0.7772428393363953), ('adips', 0.7760921716690063), ('linum', 0.768344521522522), ('lino', 0.7676833271980286), ('pilus', 0.7670294642448425), ('testa', 0.7653754353523254), ('iecur', 0.7569095492362976), ('unguis', 0.7537670731544495), ('crassitudo', 0.7512349486351013)]"
tabum,43,40,0.90980726,0,"[('umecto', 0.8810047507286072), ('rictus', 0.8790619969367981), ('sanies', 0.8740513920783997), ('stillo', 0.8631232976913452), ('canities', 0.8422101736068726), ('luridus', 0.838871955871582), ('madeo', 0.8384574055671692), ('liueo', 0.8379719853401184), ('lympha', 0.8361167907714844), ('gelo', 0.8322798013687134)]",43,1.0,1,"[('sanies', 0.8521097898483276), ('squamosus', 0.8409153819084167), ('aspero', 0.8361272215843201), ('cinnama', 0.8336583375930786), ('fluidus', 0.8332047462463379), ('crocus', 0.8280965089797974), ('liueo', 0.8259225487709045), ('hispidus', 0.8251616358757019), ('umeo', 0.8216545581817627), ('sanguineus', 0.8208606243133545)]"
dinosco,43,40,0.60908866,0,"[('discerno', 0.6479997038841248), ('peruideo', 0.5868338942527771), ('dispicio', 0.5665103793144226), ('concoquo', 0.5354982614517212), ('considero', 0.5231399536132812), ('adtendo', 0.5203331112861633), ('attendo', 0.5196032524108887), ('perspicio', 0.5178964734077454), ('diiudico', 0.5122352838516235), ('explico', 0.5113278031349182)]",43,1.0,1,"[('attendo', 0.6277878284454346), ('explico', 0.6146634817123413), ('peruideo', 0.6077743768692017), ('enarro', 0.5986859202384949), ('intueor', 0.5845241546630859), ('aduerteo', 0.5763132572174072), ('credibilis', 0.5743476152420044), ('assequor', 0.5257483124732971), ('uerissimus', 0.5218780040740967), ('insum', 0.5189328789710999)]"
