Word,Frequency_t_reference-last,Frequency_t0,"Cosine_similarity(w_t_reference-last,w_t0)",interval-0,neighbours_t0,Frequency_t1,"Cosine_similarity(w_t_reference-last,w_t1)",interval-1,neighbours_t1
et,139687,114465,0.46572483,0,"[('que', 0.6992236971855164), ('atque', 0.6885769367218018), ('cumque', 0.44071370363235474), ('enitesco', 0.4355856776237488), ('adsumptus', 0.42973607778549194), ('consimilis', 0.4285579323768616), ('discordo', 0.41751721501350403), ('exercito', 0.4069843888282776), ('uelut', 0.4005879759788513), ('Ceterum', 0.398534893989563)]",139687,1.0,1,"[('Sapientia', 0.4494797885417938), ('quia', 0.44296425580978394), ('autem', 0.42960450053215027), ('Dominus', 0.4224543869495392), ('cumque', 0.42098408937454224), ('sicut', 0.4168855547904968), ('iuxta', 0.41362184286117554), ('coram', 0.4125302731990814), ('tabernaculum', 0.4115874469280243), ('quoniam', 0.41120174527168274)]"
sum,93085,92203,0.8126034,0,"[('habeo', 0.6115756630897522), ('desidero', 0.5292951464653015), ('fio', 0.5118938684463501), ('indigeo', 0.5095317363739014), ('consto', 0.49216946959495544), ('reperio', 0.48650985956192017), ('alioqui', 0.4816144108772278), ('appareo', 0.47378629446029663), ('efficio', 0.46548354625701904), ('utique', 0.455780953168869)]",93085,1.0,1,"[('habeo', 0.5704127550125122), ('consto', 0.4998372793197632), ('utique', 0.48548153042793274), ('permaneo', 0.48107507824897766), ('facio', 0.47656285762786865), ('fio', 0.47447076439857483), ('manifesto', 0.4545319080352783), ('intellego', 0.44270655512809753), ('habendus', 0.4375559985637665), ('scilicet', 0.43587979674339294)]"
qui,87140,91561,0.7928214,0,"[('quod', 0.5884783864021301), ('autem', 0.49543270468711853), ('Qui', 0.47117552161216736), ('quia', 0.469266802072525), ('ut', 0.45670586824417114), ('etiamsi', 0.4471486806869507), ('itaque', 0.44385936856269836), ('notitia', 0.4336729645729065), ('credibilis', 0.4252537488937378), ('quo', 0.42507022619247437)]",87140,1.0,1,"[('quia', 0.5769271850585938), ('quoniam', 0.5733568072319031), ('quisquis', 0.542834997177124), ('quod', 0.5376794934272766), ('ut', 0.47334611415863037), ('Qui', 0.45972105860710144), ('enim', 0.4543015956878662), ('quicumque', 0.44358518719673157), ('unde', 0.4424809217453003), ('utique', 0.42258140444755554)]"
in,72483,65549,0.67101085,0,"[('extra', 0.4881688356399536), ('ad', 0.4743414521217346), ('circa', 0.43284872174263), ('ex', 0.4191598892211914), ('intra', 0.4126891791820526), ('firmissimus', 0.4074873924255371), ('contraho', 0.3784889578819275), ('occupo', 0.37811243534088135), ('definio', 0.3741384744644165), ('fundamentum', 0.3737012445926666)]",72483,1.0,1,"[('extra', 0.48671475052833557), ('iuxta', 0.41428208351135254), ('ibi', 0.41353073716163635), ('circa', 0.40776458382606506), ('derelinquo', 0.39422351121902466), ('repleo', 0.38928237557411194), ('ad', 0.3784295320510864), ('obtineo', 0.3701212704181671), ('propter', 0.3680167496204376), ('commuto', 0.3668286204338074)]"
que,49747,64169,0.8106161,0,"[('et', 0.6992238163948059), ('cumque', 0.5815892219543457), ('atque', 0.5658779144287109), ('disicio', 0.5086387395858765), ('pando', 0.4654299020767212), ('turritus', 0.46115338802337646), ('alterno', 0.4579486548900604), ('innumerus', 0.45584577322006226), ('egenus', 0.45133185386657715), ('affigo', 0.4453677833080292)]",49747,1.0,1,"[('atque', 0.5354437232017517), ('ceu', 0.5015463829040527), ('comito', 0.5006217956542969), ('cumque', 0.49977752566337585), ('miro', 0.4898659884929657), ('Qui', 0.4866521656513214), ('parilis', 0.4699433445930481), ('uictrix', 0.4670829474925995), ('innumerus', 0.4664611220359802), ('ni', 0.46256646513938904)]"
is,38147,43645,0.74368495,0,"[('ii', 0.6107271313667297), ('oportet', 0.5041499733924866), ('actio', 0.48697638511657715), ('postea', 0.486369788646698), ('manumitto', 0.4611979126930237), ('superior', 0.45914575457572937), ('demonstro', 0.45887425541877747), ('peculium', 0.45848408341407776), ('ceterus', 0.45298004150390625), ('eiusmodi', 0.4519863724708557)]",38147,1.0,1,"[('suus', 0.5398247838020325), ('omnimodus', 0.5069035887718201), ('testator', 0.5058272480964661), ('hereditarius', 0.48184746503829956), ('unusquisque', 0.4806024432182312), ('ipse', 0.47241681814193726), ('scilicet', 0.47234484553337097), ('hereditas', 0.46453025937080383), ('dominium', 0.46363240480422974), ('ille', 0.460537314414978)]"
hic,36824,40250,0.7327444,0,"[('iste', 0.6000945568084717), ('ille', 0.5690352320671082), ('hice', 0.5341877937316895), ('Stoicus', 0.4738202691078186), ('Epicurus', 0.46476131677627563), ('exquiro', 0.4532642662525177), ('istic', 0.4530864357948303), ('ego', 0.44088271260261536), ('nos', 0.4377099871635437), ('communis', 0.437653124332428)]",36824,1.0,1,"[('iste', 0.664944589138031), ('praesens', 0.43560436367988586), ('qui', 0.4216379225254059), ('generalis', 0.4020143151283264), ('censeo', 0.3971061110496521), ('merito', 0.39628151059150696), ('quicumque', 0.39247000217437744), ('talis', 0.3879508078098297), ('promptus', 0.3849019706249237), ('ille', 0.3810547888278961)]"
non,35029,37512,0.8018124,0,"[('numquam', 0.5676677823066711), ('utcumque', 0.5464574098587036), ('neque', 0.5407662391662598), ('Neque', 0.5198045372962952), ('nego', 0.5070317983627319), ('dissimulo', 0.4866828918457031), ('nusquam', 0.4519208073616028), ('corrigo', 0.44050154089927673), ('quiuis', 0.42942553758621216), ('confiteor', 0.4275500476360321)]",35029,1.0,1,"[('nequaquam', 0.6869540214538574), ('neque', 0.651820957660675), ('numquam', 0.5891353487968445), ('nemo', 0.5550185441970825), ('parum', 0.5367998480796814), ('nolo', 0.5024219155311584), ('nihil', 0.5018690228462219), ('recte', 0.499746173620224), ('nec', 0.47739332914352417), ('ingratus', 0.4583100378513336)]"
ut,28729,31401,0.7539024,0,"[('quemadmodum', 0.5435855984687805), ('sicut', 0.5285274386405945), ('uti', 0.46387824416160583), ('qui', 0.45670589804649353), ('tamquam', 0.4562844932079315), ('quasi', 0.40110838413238525), ('utor', 0.3781292140483856), ('quoniam', 0.37625885009765625), ('atque', 0.37391024827957153), ('prout', 0.3555545508861542)]",28729,1.0,1,"[('quemadmodum', 0.5560397505760193), ('sicut', 0.511897623538971), ('qui', 0.47334614396095276), ('demos', 0.45085498690605164), ('Atque', 0.4183262586593628), ('quisquis', 0.4162192940711975), ('quomodo', 0.414152592420578), ('quandoquidem', 0.3940557539463043), ('prout', 0.38699284195899963), ('quatenus', 0.3798951208591461)]"
cum,27742,31205,0.75054073,0,"[('propter', 0.38616833090782166), ('contra', 0.3691224753856659), ('et', 0.36754053831100464), ('cumque', 0.34970858693122864), ('postquam', 0.3476864695549011), ('perterreo', 0.34556081891059875), ('priusquam', 0.33402055501937866), ('Apud', 0.32516953349113464), ('nonnes', 0.31695556640625), ('amicissimus', 0.31647172570228577)]",27742,1.0,1,"[('cumque', 0.45312434434890747), ('quanus', 0.38806837797164917), ('Cumque', 0.3706219494342804), ('itaque', 0.3669794201850891), ('quia', 0.36624374985694885), ('qualiter', 0.3606545031070709), ('ubi', 0.3540983200073242), ('tunc', 0.35407736897468567), ('coniungo', 0.35299190878868103), ('postquam', 0.34598398208618164)]"
