Word,Frequency_t_reference-last,Frequency_t0,"Cosine_similarity(w_t_reference-last,w_t0)",interval-0,neighbours_t0,Frequency_t1,"Cosine_similarity(w_t_reference-last,w_t1)",interval-1,neighbours_t1
et,139687,114465,0.43897063,0,"[('atque', 0.7131067514419556), ('que', 0.6963444352149963), ('adsiduo', 0.47556406259536743), ('uelut', 0.4704849421977997), ('proiectus', 0.4394599497318268), ('contraho', 0.4308761656284332), ('enitesco', 0.42615270614624023), ('creber', 0.4206923246383667), ('inuerecundus', 0.417420357465744), ('admirandus', 0.41712915897369385)]",139687,1.0,1,"[('autem', 0.4636198580265045), ('quia', 0.46229010820388794), ('quoniam', 0.4528154730796814), ('cumque', 0.44129040837287903), ('iuxta', 0.42731866240501404), ('quasi', 0.4109000265598297), ('coram', 0.4102367162704468), ('sicut', 0.40379711985588074), ('uae', 0.39385831356048584), ('operor', 0.3917764127254486)]"
sum,93085,92203,0.8575386,0,"[('habeo', 0.5804774165153503), ('fio', 0.5479435920715332), ('consto', 0.5194883346557617), ('praetermitto', 0.5110948085784912), ('desidero', 0.49098750948905945), ('utique', 0.48637866973876953), ('appareo', 0.4784832000732422), ('probo', 0.4613662362098694), ('utilis', 0.45960158109664917), ('accido', 0.4592619836330414)]",93085,1.0,1,"[('habeo', 0.5964769124984741), ('facio', 0.5288330316543579), ('fio', 0.5231082439422607), ('appareo', 0.515962541103363), ('consto', 0.5014688372612), ('intellego', 0.4780251383781433), ('permaneo', 0.47115951776504517), ('accido', 0.4689026474952698), ('indigeo', 0.4671195447444916), ('reputo', 0.46288391947746277)]"
qui,87140,91561,0.771259,0,"[('quod', 0.5674370527267456), ('autem', 0.4971020221710205), ('ut', 0.48369359970092773), ('sicut', 0.45041772723197937), ('is', 0.4383370280265808), ('Qui', 0.43509766459465027), ('quia', 0.42787930369377136), ('infinitus', 0.42191335558891296), ('probatio', 0.4204826056957245), ('demonstrandus', 0.4175579249858856)]",87140,1.0,1,"[('quoniam', 0.6049728393554688), ('quia', 0.595256507396698), ('quisquis', 0.5741326808929443), ('quod', 0.5419737100601196), ('enim', 0.5050967335700989), ('ut', 0.4966900944709778), ('hic', 0.4557838439941406), ('unde', 0.4541560411453247), ('quicumque', 0.44826021790504456), ('qualiter', 0.424997478723526)]"
in,72483,65549,0.7006396,0,"[('circa', 0.4914306402206421), ('extra', 0.45743778347969055), ('ad', 0.4528543949127197), ('asperrimus', 0.43132084608078003), ('occupo', 0.4221402406692505), ('definio', 0.4152446389198303), ('fundamentum', 0.4121968150138855), ('intra', 0.4090248644351959), ('ex', 0.40720272064208984), ('contineo', 0.38577061891555786)]",72483,1.0,1,"[('extra', 0.5209685564041138), ('habitatio', 0.4512573480606079), ('colloco', 0.4335554838180542), ('super', 0.40727028250694275), ('ibi', 0.39611226320266724), ('ad', 0.39359936118125916), ('obtineo', 0.3907662630081177), ('circa', 0.389495849609375), ('et', 0.3878214359283447), ('ubicumque', 0.37766745686531067)]"
que,49747,64169,0.7795912,0,"[('et', 0.696344256401062), ('atque', 0.6022582650184631), ('cumque', 0.600224494934082), ('disicio', 0.5311723351478577), ('circum', 0.47616612911224365), ('Ultima', 0.4687056243419647), ('donec', 0.4636977016925812), ('strepo', 0.453382283449173), ('intrepidus', 0.44784942269325256), ('insolitus', 0.44784435629844666)]",49747,1.0,1,"[('atque', 0.5286880135536194), ('parilis', 0.49672332406044006), ('ni', 0.49549201130867004), ('miro', 0.4892902672290802), ('namque', 0.4882042407989502), ('suesco', 0.4802972376346588), ('comito', 0.4758751094341278), ('qua', 0.473598837852478), ('Qui', 0.47003304958343506), ('ceu', 0.46968454122543335)]"
is,38147,43645,0.6719321,0,"[('ii', 0.595058262348175), ('actio', 0.489652156829834), ('amplior', 0.48427867889404297), ('difficillimus', 0.4817553758621216), ('eiusmodi', 0.4630478322505951), ('ideo', 0.46270322799682617), ('idem', 0.4625721871852875), ('oportet', 0.4621237814426422), ('superior', 0.4556324779987335), ('medicinus', 0.44882747530937195)]",38147,1.0,1,"[('suus', 0.5462521314620972), ('omnimodus', 0.5408058166503906), ('unusquisque', 0.5100482702255249), ('testator', 0.5073756575584412), ('hereditarius', 0.4964897930622101), ('defunco', 0.4954739809036255), ('dominium', 0.4820495545864105), ('iniquitas', 0.4683712422847748), ('utique', 0.46783626079559326), ('hereditas', 0.4658227264881134)]"
hic,36824,40250,0.77328515,0,"[('iste', 0.5816076993942261), ('ille', 0.5459903478622437), ('hice', 0.5331441164016724), ('Epicurus', 0.4942426085472107), ('istic', 0.47127026319503784), ('medicinus', 0.46288976073265076), ('usitatus', 0.4592939615249634), ('Stoicus', 0.4562290608882904), ('communis', 0.4558878242969513), ('ego', 0.4464569687843323)]",36824,1.0,1,"[('iste', 0.6840270161628723), ('qui', 0.4557839035987854), ('ille', 0.45095422863960266), ('praesens', 0.44472604990005493), ('certissimus', 0.42050275206565857), ('talis', 0.4053020477294922), ('censeo', 0.3976835608482361), ('quicumque', 0.3950303792953491), ('assero', 0.3947812616825104), ('huiusmodi', 0.39224106073379517)]"
non,35029,37512,0.8196782,0,"[('neque', 0.5757856965065002), ('numquam', 0.5651951432228088), ('utcumque', 0.5430464148521423), ('Neque', 0.5202089548110962), ('nego', 0.47234907746315), ('nullus', 0.4597758948802948), ('nihilominus', 0.4445721507072449), ('quiuis', 0.4418327510356903), ('tantum', 0.44056156277656555), ('nemo', 0.4380936622619629)]",35029,1.0,1,"[('nequaquam', 0.694731593132019), ('neque', 0.6823663115501404), ('numquam', 0.5985898971557617), ('parum', 0.5605263113975525), ('nolo', 0.5453168153762817), ('nemo', 0.535216212272644), ('nec', 0.510654866695404), ('quisquam', 0.4803040027618408), ('utique', 0.47995898127555847), ('plane', 0.4756334722042084)]"
ut,28729,31401,0.7382662,0,"[('quemadmodum', 0.5857640504837036), ('sicut', 0.5541805624961853), ('qui', 0.4836936295032501), ('tamquam', 0.45228224992752075), ('uti', 0.45192745327949524), ('atque', 0.4272462725639343), ('quasi', 0.4182584881782532), ('utor', 0.3905455768108368), ('probatio', 0.3827764689922333), ('confirmandus', 0.36221832036972046)]",28729,1.0,1,"[('quemadmodum', 0.5500595569610596), ('sicut', 0.4990245997905731), ('qui', 0.49669015407562256), ('demos', 0.45758283138275146), ('Atque', 0.4161144495010376), ('quomodo', 0.4089450240135193), ('prout', 0.4065992832183838), ('quisquis', 0.37736406922340393), ('quatenus', 0.36829978227615356), ('saluus', 0.3670724630355835)]"
cum,27742,31205,0.6519467,0,"[('et', 0.39450153708457947), ('quocum', 0.38186144828796387), ('priusquam', 0.35842812061309814), ('qui', 0.35396483540534973), ('atque', 0.3517471253871918), ('cumque', 0.3464011251926422), ('postquam', 0.3434584438800812), ('quum', 0.34232035279273987), ('perterreo', 0.33821815252304077), ('propter', 0.333497554063797)]",27742,1.0,1,"[('cumque', 0.4681721329689026), ('ubi', 0.45063069462776184), ('tunc', 0.3891456425189972), ('quanus', 0.3874501883983612), ('absens', 0.3740215301513672), ('qui', 0.36498382687568665), ('itaque', 0.36435800790786743), ('coniungo', 0.3593001961708069), ('quo', 0.35398587584495544), ('adscisco', 0.35276564955711365)]"
