id,title,creator,date_avg,date_range_start,date_range_end,type,file,era_bin,century
MQDQ-525,carminum libri  2,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-525.txt,post_180,6
MQDQ-526,carminum libri  3,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-526.txt,post_180,6
MQDQ-527,carminum libri  4,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-527.txt,post_180,6
MQDQ-528,carminum libri  5,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-528.txt,post_180,6
IT-LAT0990_4,De Pascha,Martinus Bracarensis,576,576,577,prose,lat_0550_IT-LAT0990_4.txt,post_180,6
IT-LAT0990_5,De superbia,Martinus Bracarensis,564,550,579,prose,lat_0550_IT-LAT0990_5.txt,post_180,6
IT-LAT0990_7,Exhortatio humilitatis,Martinus Bracarensis,564,550,579,prose,lat_0550_IT-LAT0990_7.txt,post_180,6
MQDQ-211,epitaphium,Martinus Bracariensis,564,550,579,poetry,lat_0579_MQDQ-211.txt,post_180,6
IT-LAT0435,Sententiae patrum Aegyptiorum,Martinus Bracarensis,567,556,579,prose,lat_0550_IT-LAT0435.txt,post_180,6
MQDQ-531,carminum libri  8,Venantius Fortunatus,587,584,591,poetry,lat_0601_MQDQ-531.txt,post_180,6
MQDQ-532,carminum libri  9,Venantius Fortunatus,587,584,591,poetry,lat_0601_MQDQ-532.txt,post_180,6
IT-LAT0783,Historiae,Gregorius Turonensis,583,573,594,prose,lat_0550_IT-LAT0783.txt,post_180,6
MQDQ-619,hymni,Columba,567,537,597,poetry,lat_0559_MQDQ-619.txt,post_180,6
IT-LAT0978,Apophthegmata,Macarius Magnus: Sanctus,550,500,600,prose,lat_0350_IT-LAT0978.txt,post_180,6
MQDQ-182,*carmen de ternarii numeri excellentia,Pseudo-Ambrose,550,500,600,poetry,lat_0368_MQDQ-182.txt,post_180,6
MQDQ-95,hymnus,Flauius Cabilonensis Episcopus,587,575,600,poetry,lat_0550.0_MQDQ-95.txt,post_180,6
MQDQ-475,sylloge cod. Elnonensis,sylloge cod. Elnonensis,590,580,600,poetry,lat_0550.0_MQDQ-475.txt,post_180,6
MQDQ-191,in Euangelia,Severus Malacitanus,576,550,602,poetry,lat_0550.0_MQDQ-191.txt,post_180,7
MQDQ-188,epitaphium,Marius Auenticentis Episcopus,599,594,604,poetry,lat_0594_MQDQ-188.txt,post_180,7
MQDQ-535,carminum appendix,Venantius Fortunatus,587,570,605,poetry,lat_0601_MQDQ-535.txt,post_180,7
MQDQ-536,spuriorum appendix,Venantius Fortunatus,587,570,605,poetry,lat_0601_MQDQ-536.txt,post_180,7
MQDQ-533,carminum libri 10,Venantius Fortunatus,597,590,605,poetry,lat_0601_MQDQ-533.txt,post_180,7
MQDQ-534,carminum libri 11,Venantius Fortunatus,597,590,605,poetry,lat_0601_MQDQ-534.txt,post_180,7
