Time_interval,Cosine_sim,Word
0,0.09651635587215424,populus
1,0.047878097742795944,populus
0,0.16331979632377625,sacerdos
1,0.11541790515184402,sacerdos
0,-0.19862525165081024,patria
1,-0.22287465631961823,patria
0,0.30215758085250854,pastor
1,0.043554265052080154,pastor
0,0.05485443398356438,legio
1,0.13727077841758728,legio
0,0.11386148631572723,natio
1,0.01190073974430561,natio
0,0.2909574508666992,tormentum
1,0.28695032000541687,tormentum
0,0.18756026029586792,humanitas
1,0.3151545226573944,humanitas
0,0.2300100326538086,machina
1,0.1892412304878235,machina
0,0.15211239457130432,examino
1,0.24507084488868713,examino
0,0.4342483580112457,traduco
1,0.3993346691131592,traduco
0,0.1451338231563568,carina
1,0.08450956642627716,carina
0,0.20258839428424835,commentarius
1,0.28277748823165894,commentarius
0,0.3713684380054474,fistula
1,0.5840128064155579,fistula
0,0.15994884073734283,scando
1,0.4199012815952301,scando
0,0.2741990089416504,ferculum
1,0.34172773361206055,ferculum
0,0.48487168550491333,acus
1,0.4927745759487152,acus
0,0.22335444390773773,phalanx
1,0.46684354543685913,phalanx
0,0.41881513595581055,discus
1,0.2894381284713745,discus
